Fold,model__auto_class_weights,model__depth,model__iterations,model__l2_leaf_reg,model__learning_rate
1,Balanced,5,121,1.0635967469774568,0.01576560626035394
2,Balanced,5,121,1.0635967469774568,0.01576560626035394
3,Balanced,5,121,1.0635967469774568,0.01576560626035394
4,Balanced,5,121,1.0635967469774568,0.01576560626035394
5,Balanced,4,147,4.3373642697843975,0.17721031316590183
