Fold,model__activation,model__alpha,model__batch_size,model__hidden_layer_sizes,model__learning_rate_init
1,tanh,0.0018655260217376823,16,"(64, 32)",0.00483692718068222
2,relu,0.004020759548749849,64,"(64,)",0.0017643967683381545
3,relu,3.0086868214458443e-05,32,"(64, 32)",0.0033233042062267943
4,tanh,0.0002001342062287998,16,"(128,)",0.001200561092619211
5,relu,3.0086868214458443e-05,32,"(64, 32)",0.0033233042062267943
