Before/After,Method,Brier Score,Calibration Slope,Calibration Intercept
Before,Original,0.06846715783798589,1.7394715759644652,-0.050670967711042535
After,Sigmoid,0.06288660021846093,1.4050464467897952,-0.42346342784262847
