Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.881578947368421,0.9578136463683052,0.9739487882308524,0.9108910891089109,0.7528515707285934,0.9787234042553191,0.7241379310344828,0.8514306676449009,0.09737808403325283,"[[21  8]
 [ 1 46]]",46,21,8,1,1,0.72
0.9473684210526315,0.9947916666666667,0.9969953724243321,0.9583333333333334,0.8869047619047619,0.9583333333333334,0.9285714285714286,0.9434523809523809,0.025472932501700605,"[[26  2]
 [ 2 46]]",46,26,2,2,2,0.8
0.8026315789473685,0.9508928571428571,0.9742646054796193,0.8598130841121495,0.571897210858957,0.9583333333333334,0.5357142857142857,0.7470238095238095,0.11517510092149848,"[[15 13]
 [ 2 46]]",46,15,13,2,3,0.5
0.9078947368421053,0.978422619047619,0.9865751451876575,0.9278350515463918,0.800924716614791,0.9375,0.8571428571428571,0.8973214285714286,0.05643638780248492,"[[24  4]
 [ 3 45]]",45,24,4,3,4,0.38
0.881578947368421,0.9352678571428572,0.9535109276781946,0.9090909090909091,0.7425257825928512,0.9375,0.7857142857142857,0.8616071428571428,0.09651696105233243,"[[22  6]
 [ 3 45]]",45,22,6,3,5,0.22
