Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.8132530120481928,0.8169229807451863,0.31206232493531916,0.38735177865612647,0.31256269296978567,0.5697674418604651,0.8413978494623656,0.7055826456614154,0.09033121368359111,"[[626 118]
 [ 37  49]]",49,626,118,37,1,0.060000000000000005
0.8175,0.8007233207327711,0.41412071993348437,0.35964912280701755,0.28862415971235,0.5394736842105263,0.8466850828729282,0.6930793835417273,0.08810156766787512,"[[613 111]
 [ 35  41]]",41,613,111,35,2,0.15000000000000002
0.8113924050632911,0.7825684938390721,0.30449577496528235,0.33183856502242154,0.26651719564169024,0.5362318840579711,0.8377253814147018,0.6869786327363364,0.0810556109626565,"[[604 117]
 [ 32  37]]",37,604,117,32,3,0.060000000000000005
0.8551282051282051,0.8078897909360409,0.37904668509467926,0.39572192513368987,0.32809338353104744,0.5068493150684932,0.8910891089108911,0.6989692119896922,0.07835781326714421,"[[630  77]
 [ 36  37]]",37,630,77,36,4,0.16
0.8225,0.8216251104015219,0.30348709897293963,0.36607142857142855,0.2852379398297006,0.5,0.8593314763231198,0.6796657381615598,0.09798837662441778,"[[617 101]
 [ 41  41]]",41,617,101,41,5,0.11
