analysis,dataset,model,seed,fold,primary_metric,best_params_json,threshold,train_n,test_n,train_positive,train_negative,test_positive,test_negative,train_groups,test_groups,tn,fp,fn,tp,elapsed_seconds_model_seed,ROC_AUC,PR_AUC,F1,MCC,Sensitivity,Specificity,Balanced_Acc,Brier
main_nested_cv,Dataset1_Urinalysis,logreg,0,0,ROC_AUC,"{""clf__C"": 1.032326035197657}",0.2945662688381707,304,76,192,112,47,29,,,25,4,1,46,9.546952962875366,0.9889948642699926,0.9935341741948025,0.9484536082474226,0.8609243939641741,0.9787234042553191,0.8620689655172413,0.9203961848862803,0.04502547070493039
main_nested_cv,Dataset1_Urinalysis,logreg,0,1,ROC_AUC,"{""clf__C"": 0.6921859910208611}",0.2957690191974968,304,76,191,113,48,28,,,20,8,3,45,9.546952962875366,0.9590773809523809,0.9767509893900703,0.8910891089108911,0.684388367090834,0.9375,0.7142857142857143,0.8258928571428572,0.08851815305122959
main_nested_cv,Dataset1_Urinalysis,logreg,0,2,ROC_AUC,"{""clf__C"": 0.6921859910208611}",0.2856553803923451,304,76,191,113,48,28,,,24,4,2,46,9.546952962875366,0.9732142857142857,0.9840723517768106,0.9387755102040817,0.8291617197562594,0.9583333333333334,0.8571428571428571,0.9077380952380952,0.07328783219989651
main_nested_cv,Dataset1_Urinalysis,logreg,0,3,ROC_AUC,"{""clf__C"": 0.6921859910208611}",0.3286608632304791,304,76,191,113,48,28,,,21,7,0,48,9.546952962875366,0.9709821428571428,0.9814051546922211,0.9320388349514563,0.8090398349558905,1.0,0.75,0.875,0.0666287231862507
main_nested_cv,Dataset1_Urinalysis,logreg,0,4,ROC_AUC,"{""clf__C"": 1.6961746387290997}",0.22775859915882896,304,76,191,113,48,28,,,21,7,0,48,9.546952962875366,0.9791666666666666,0.9877493192985936,0.9320388349514563,0.8090398349558905,1.0,0.75,0.875,0.052650008588379905
main_nested_cv,Dataset1_Urinalysis,logreg,1,0,ROC_AUC,"{""clf__C"": 0.4944059287398678}",0.55031605485441,304,76,192,112,47,29,,,28,1,7,40,9.484580516815186,0.9787234042553192,0.9872093751149587,0.9090909090909091,0.79583179469117,0.851063829787234,0.9655172413793104,0.9082905355832722,0.07466557012059254
main_nested_cv,Dataset1_Urinalysis,logreg,1,1,ROC_AUC,"{""clf__C"": 2.6674574591455764}",0.3749805582737938,304,76,191,113,48,28,,,23,5,2,46,9.484580516815186,0.9769345238095237,0.9859100994301121,0.9292929292929293,0.8005833540713045,0.9583333333333334,0.8214285714285714,0.8898809523809523,0.06038730359484262
main_nested_cv,Dataset1_Urinalysis,logreg,1,2,ROC_AUC,"{""clf__C"": 0.4944059287398678}",0.4900054664868354,304,76,191,113,48,28,,,22,6,3,45,9.484580516815186,0.9620535714285714,0.9781602023344931,0.9090909090909091,0.7425257825928512,0.9375,0.7857142857142857,0.8616071428571428,0.07640903026141187
main_nested_cv,Dataset1_Urinalysis,logreg,1,3,ROC_AUC,"{""clf__C"": 3.9959722831350617}",0.3996819811912713,304,76,191,113,48,28,,,25,3,7,41,9.484580516815186,0.9724702380952381,0.9829238118893817,0.8913043478260869,0.7298485525313005,0.8541666666666666,0.8928571428571429,0.8735119047619048,0.07347048493781587
main_nested_cv,Dataset1_Urinalysis,logreg,1,4,ROC_AUC,"{""clf__C"": 0.4944059287398678}",0.3562558840574609,304,76,191,113,48,28,,,22,6,0,48,9.484580516815186,0.988095238095238,0.9932705498461059,0.9411764705882353,0.835710894037345,1.0,0.7857142857142857,0.8928571428571428,0.05237865199198079
