pr_auc,roc_auc,mcc,f1,balanced_accuracy,accuracy,precision,sensitivity,specificity,brier,log_loss,ece10,threshold,tn,fp,fn,tp,model,outer_fold,inner_pr_auc,runtime_seconds,train_patients,test_patients,train_examples,test_examples,eligible_for_selection,comparison_role,imbalance_strategy,validation_mode,run_seed,output_tag
0.07277792901916325,0.5643620364550598,0.11626072271415426,0.1686746987951807,0.5643620364550597,0.8988269794721407,0.15217391304347827,0.1891891891891892,0.9395348837209302,0.10117301850439891,1.8636759197459647,0.10117301052785922,0.01,606,39,30,7,dummy,1,,0.4498105049133301,320,80,2717,682,False,baseline,class_weight,grouped,42,primary
0.05409834613374436,0.4932327022810642,0.0,0.1034965034965035,0.5,0.05457227138643068,0.05457227138643068,1.0,0.0,0.09144542589970511,1.6844870385758162,0.09144541772861356,0.0,0,641,0,37,dummy,2,,0.4155886173248291,320,80,2721,678,False,baseline,class_weight,grouped,42,primary
0.054252199413489736,0.4744186046511628,0.0,0.10292072322670376,0.5,0.054252199413489736,0.054252199413489736,1.0,0.0,0.10263929413489745,1.8906857155877548,0.10263928618768328,0.0,0,645,0,37,dummy,3,,0.420407772064209,320,80,2717,682,False,baseline,class_weight,grouped,42,primary
0.05507419183889772,0.5052540876802153,0.011606902986093882,0.05970149253731343,0.5052540876802152,0.9073529411764706,0.06666666666666667,0.05405405405405406,0.9564541213063764,0.09264705697058831,1.7066219013210384,0.09264704882352941,0.01,615,28,35,2,dummy,4,,0.4200904369354248,320,80,2719,680,False,baseline,class_weight,grouped,42,primary
0.0546205113652916,0.499683277027027,0.0,0.10364145658263306,0.5,0.05465288035450517,0.05465288035450517,1.0,0.0,0.10339733914327925,1.9046494209317568,0.10339733121122599,0.0,0,640,0,37,dummy,5,,0.42392539978027344,320,80,2722,677,False,baseline,class_weight,grouped,42,primary
0.12808645591658427,0.6786297925832809,0.09653423627070737,0.14285714285714285,0.6042740414833438,0.6129032258064516,0.08118081180811808,0.5945945945945946,0.6139534883720931,0.27158137707861096,0.7829111155041513,0.44189252132367934,0.48247685576052113,396,249,15,22,time_only_logistic,1,,2.592203140258789,320,80,2717,682,False,baseline,class_weight,grouped,42,primary
0.1286115708375828,0.6884302399122992,0.1355359993523258,0.17989417989417988,0.624425517561243,0.7713864306784661,0.1118421052631579,0.4594594594594595,0.7893915756630265,0.20468092092985313,0.6018361408066223,0.3834199835140724,0.5180227542697949,506,135,20,17,time_only_logistic,2,,2.615885019302368,320,80,2721,678,False,baseline,class_weight,grouped,42,primary
0.09516888456591652,0.6890425309029962,0.16068187411627372,0.19004524886877827,0.6574271946364969,0.7375366568914956,0.11413043478260869,0.5675675675675675,0.7472868217054264,0.21294297999403342,0.6223613273724334,0.39155662608726005,0.4945220688740545,482,163,16,21,time_only_logistic,3,,2.6404550075531006,320,80,2717,682,False,baseline,class_weight,grouped,42,primary
0.17692356679329274,0.7188852927577656,0.17020302524038355,0.18374558303886926,0.6802782564835442,0.6602941176470588,0.10569105691056911,0.7027027027027027,0.6578538102643857,0.2174463841271491,0.6285384922676084,0.4016242787774909,0.46459558489699776,423,220,11,26,time_only_logistic,4,,2.6958296298980713,320,80,2719,680,False,baseline,class_weight,grouped,42,primary
0.12385197604481409,0.6742820945945946,0.11099737526334193,0.15081967213114755,0.6194045608108107,0.6174298375184638,0.08582089552238806,0.6216216216216216,0.6171875,0.22872863331790322,0.6535467027461314,0.40822231813281906,0.4704196545228782,395,245,14,23,time_only_logistic,5,,2.5736958980560303,320,80,2722,677,False,baseline,class_weight,grouped,42,primary
0.3958263399680865,0.8545568824638593,0.3933529020468867,0.4266666666666667,0.6991619526503248,0.9369501466275659,0.42105263157894735,0.43243243243243246,0.9658914728682171,0.15404218667872446,0.46404278555261363,0.2789479874292675,0.8022910735124044,623,22,21,16,logistic_regression,1,0.34742379634900855,6.50510311126709,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.2915514714285192,0.8367837416199351,0.30570971990328105,0.33962264150943394,0.7034616519795927,0.8967551622418879,0.2608695652173913,0.4864864864864865,0.9204368174726989,0.14498922397073552,0.4418916404984269,0.26375053935386233,0.6971250928668761,590,51,19,18,logistic_regression,2,0.33275919581359575,6.411545753479004,320,80,2721,678,True,main,class_weight,grouped,42,primary
0.5015376514359293,0.8791535721768281,0.4112453456303562,0.4122137404580153,0.8129268803687408,0.8870967741935484,0.2872340425531915,0.7297297297297297,0.896124031007752,0.14972013469447973,0.45244069295703265,0.27941060089371705,0.6760814843523294,578,67,10,27,logistic_regression,3,0.31835534636270074,6.487325668334961,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.4140069895157564,0.8485982094069187,0.35888544033002284,0.3880597014925373,0.6624563910722542,0.9397058823529412,0.43333333333333335,0.35135135135135137,0.973561430793157,0.14146643149043658,0.43503770215220255,0.2648692236817754,0.7623124248198937,626,17,24,13,logistic_regression,4,0.34394428054687776,6.257875919342041,320,80,2719,680,True,main,class_weight,grouped,42,primary
0.3317345293165704,0.8288429054054054,0.3087966088810496,0.34285714285714286,0.7041807432432432,0.8980797636632201,0.2647058823529412,0.4864864864864865,0.921875,0.15967804290818718,0.47923183607559083,0.28207738209353295,0.7265646314303617,590,50,19,18,logistic_regression,5,0.36621502698776937,6.362531900405884,320,80,2722,677,True,main,class_weight,grouped,42,primary
0.45075995526837465,0.9212025979467839,0.6013926708597473,0.6233766233766234,0.8119212235491305,0.9574780058651027,0.6,0.6486486486486487,0.9751937984496124,0.10724316637792476,0.34320728105679693,0.19396906397707983,0.8712121212121212,629,16,13,24,decision_tree,1,0.4111275204978429,1.7377560138702393,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.37589501800833514,0.8638950963443943,0.5308822037016194,0.5555555555555556,0.7585698022515495,0.9528023598820059,0.5714285714285714,0.5405405405405406,0.9765990639625585,0.12055405231885669,0.3989694965416681,0.2066870496532369,0.8266666666666667,626,15,17,20,decision_tree,2,0.4588366443243543,1.8591818809509277,320,80,2721,678,True,main,class_weight,grouped,42,primary
0.4379756835633236,0.7570500733291431,0.5016991829660726,0.5277777777777778,0.7443536559815629,0.9501466275659824,0.5428571428571428,0.5135135135135135,0.9751937984496124,0.10968902395777211,0.6346253972867291,0.14762926958174005,0.9009090909090909,629,16,18,19,decision_tree,3,0.46857836944010717,1.818662166595459,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.4448226781546915,0.830713294943466,0.5865546653101756,0.5901639344262295,0.7385776133832122,0.9632352941176471,0.75,0.4864864864864865,0.9906687402799378,0.10941173235763921,0.5152535800198861,0.14201436511092502,0.9256565656565656,637,6,19,18,decision_tree,4,0.4202186345056977,1.906177282333374,320,80,2719,680,True,main,class_weight,grouped,42,primary
0.44424805499640363,0.8983530405405405,0.5601925791837138,0.5833333333333334,0.7728462837837837,0.9556868537666174,0.6,0.5675675675675675,0.978125,0.11210579613529678,0.349543628214689,0.19771588105467675,0.8266666666666667,626,14,16,21,decision_tree,5,0.45293307440365643,1.807936429977417,320,80,2722,677,True,main,class_weight,grouped,42,primary
0.6034896737078462,0.9170333123821496,0.6100927027482749,0.631578947368421,0.8126964173475801,0.9589442815249267,0.6153846153846154,0.6486486486486487,0.9767441860465116,0.053754848601303216,0.2062979455459372,0.1124535444278647,0.6484848484848484,630,15,13,24,random_forest,1,0.497118716481459,153.78704380989075,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.5071381204054539,0.8927773327149303,0.5166663228573916,0.5373134328358209,0.7338828688282666,0.9542772861356932,0.6,0.4864864864864865,0.9812792511700468,0.04978505428012059,0.2090492099773964,0.07951407109497988,0.7672727272727272,629,12,19,18,random_forest,2,0.5591086791003111,135.0104410648346,320,80,2721,678,True,main,class_weight,grouped,42,primary
0.519766490344427,0.9004399748585795,0.5141839513932537,0.5405405405405406,0.7570919756966269,0.9501466275659824,0.5405405405405406,0.5405405405405406,0.9736434108527132,0.04989647012723168,0.1888641000720291,0.08260517174094065,0.6484848484848484,628,17,17,20,random_forest,3,0.4969529165628031,128.0863220691681,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.5236758870132149,0.9135387331343786,0.6095925696973523,0.6285714285714286,0.7887436425539069,0.961764705882353,0.6666666666666666,0.5945945945945946,0.9828926905132193,0.03773003265316745,0.1526226937054964,0.058665356226684,0.5148484848484849,632,11,15,22,random_forest,4,0.5343655163761251,116.4097318649292,320,80,2719,680,True,main,class_weight,grouped,42,primary
0.5233441046057615,0.9038851351351352,0.5601925791837138,0.5833333333333334,0.7728462837837837,0.9556868537666174,0.6,0.5675675675675675,0.978125,0.034641607558728936,0.1315204109969515,0.016333652426990843,0.31119781016748777,626,14,16,21,random_forest,5,0.5077734924094092,90.65520739555359,320,80,2722,677,True,main,class_weight,grouped,42,primary
0.6149104957581967,0.8591661428870732,0.569482111424133,0.5925925925925926,0.8088204483553321,0.9516129032258065,0.5454545454545454,0.6486486486486487,0.9689922480620154,0.03861111700568131,0.1758942497179206,0.03863830945044231,0.45545454545454545,625,20,13,24,xgboost,1,0.548486381702987,45.62971258163452,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.529414457501811,0.8832483029050892,0.5049052859230736,0.5230769230769231,0.7211493865160012,0.9542772861356932,0.6071428571428571,0.4594594594594595,0.982839313572543,0.04553756268529173,0.16477025979003357,0.038193199481021144,0.7375757575757576,630,11,20,17,xgboost,2,0.5886298241930286,38.15158438682556,320,80,2721,678,True,main,class_weight,grouped,42,primary
0.5997829991722629,0.9341294783155247,0.560373425062079,0.5833333333333334,0.7729310706054893,0.9560117302052786,0.6,0.5675675675675675,0.9782945736434109,0.047905440709036955,0.16280349492142607,0.06540087919116064,0.6979797979797979,631,14,16,21,xgboost,3,0.5631688378019556,39.97531723976135,320,80,2717,682,True,main,class_weight,grouped,42,primary
0.5300167391345586,0.9016014459249295,0.5376057908763283,0.5538461538461539,0.7354671934765247,0.9573529411764706,0.6428571428571429,0.4864864864864865,0.9844479004665629,0.044709406370607885,0.16399628712515854,0.05623724678401178,0.7573737373737374,633,10,19,18,xgboost,4,0.5872779838558524,45.429407358169556,320,80,2719,680,True,main,class_weight,grouped,42,primary
