feature,feature_family,mean_abs_shap,std_abs_shap,median_rank,top_ten_frequency,shap_rank
prior_visit_count,prior_visit_count,1.4381782090722126,0.5424689816725511,1.0,1.0,1.0
diabetic_year,diabetic_year,1.214793567474109,0.6290245644151572,2.0,1.0,2.0
calorie_intake_past_slope,calorie_intake,0.37220437106321347,0.15707666305240126,5.0,0.8,3.0
age,age,0.3637571089530392,0.1913031815854196,5.0,1.0,4.0
bmi_current_past_max,bmi,0.33552275539857784,0.14373655669165297,4.0,1.0,5.0
calorie_intake,calorie_intake,0.33249028635414085,0.1518314297559297,5.0,0.8,6.0
bmi_current_delta1,bmi,0.2848287628724361,0.16554871816784827,7.0,1.0,7.0
height_cm,height_cm,0.23802606448489677,0.13276787282128563,10.0,0.8,8.0
weight_kg_past_slope,weight_kg,0.23701562865101305,0.13558173498318746,9.0,0.6,9.0
walk_regularly,walk_regularly,0.19205565367977215,0.16507494952902166,14.0,0.2,10.0
bmi_current,bmi,0.16117963829735665,0.06401253974051369,15.0,0.2,11.0
weight_kg,weight_kg,0.15934373848475503,0.058002825327394425,14.0,0.2,12.0
bmi_current_past_slope,bmi,0.15549073115758244,0.07756694253651077,18.0,0.0,13.0
calorie_intake_lag1,calorie_intake,0.1514957095042126,0.18236629327915252,20.0,0.2,14.0
urinary_infection_past_mean,urinary_infection,0.15024228479065377,0.13445119949382495,22.0,0.2,15.0
weight_kg_past_mean,weight_kg,0.146940780437795,0.07064439092647251,15.0,0.2,16.0
weight_kg_lag1,weight_kg,0.14344375560099443,0.15481219483922395,24.0,0.2,17.0
weight_kg_past_max,weight_kg,0.13708424966398347,0.09161155598034992,15.0,0.0,18.0
insulin_past_mean,insulin,0.1361010539231649,0.08171629533824462,21.0,0.0,19.0
follow_diet_delta1,follow_diet,0.12467729999391482,0.06052027233885378,22.0,0.0,20.0
weight_kg_past_min,weight_kg,0.1230936196182832,0.0983486480114141,19.0,0.0,21.0
heart_disease,heart_disease,0.12290358470874885,0.0936777307309827,26.0,0.4,22.0
bmi_current_past_mean,bmi,0.11901140130864782,0.06807054952663263,20.0,0.0,23.0
bmi_current_lag1,bmi,0.11585955642675572,0.07619458429902828,22.0,0.0,24.0
insulin,insulin,0.11438253154985409,0.1037791434946184,17.0,0.2,25.0
bmi_current_past_min,bmi,0.10345836650596525,0.045238759179874945,25.0,0.0,26.0
urinary_infection,urinary_infection,0.10128986388248955,0.08578175498774698,19.0,0.0,27.0
pain_killer_past_mean,pain_killer,0.08186778638704527,0.07427494726344343,29.0,0.0,28.0
follow_diet_past_mean,follow_diet,0.07716973975679879,0.03551829057585352,30.0,0.0,29.0
weight_kg_delta1,weight_kg,0.06482701907639768,0.04132156638243469,33.0,0.0,30.0
hypertension_past_mean,hypertension,0.06406035912732314,0.035752609590836086,34.0,0.0,31.0
heart_disease_lag1,heart_disease,0.06049688264381394,0.07057754725794554,42.0,0.0,32.0
zarda_betel,zarda_betel,0.06023216297622343,0.07686582826160168,35.0,0.0,33.0
take_medicine_past_mean,take_medicine,0.05610758353573503,0.022436544470451417,31.0,0.0,34.0
job,job,0.04996850098147435,0.03512032397856675,35.0,0.0,35.0
follow_diet,follow_diet,0.04886442037459225,0.049837885228433076,37.0,0.0,36.0
hypertension_lag1,hypertension,0.04763098761864874,0.059932103459341794,41.0,0.0,37.0
pain_killer_lag1,pain_killer,0.03899366773289264,0.020987382023120747,34.0,0.0,38.0
gender,gender,0.03562991517916787,0.03147892032409467,39.0,0.0,39.0
family_diabetes,family_diabetes,0.034512857451734845,0.03110536845648704,46.0,0.0,40.0
urination_proper_lag1,urination_proper,0.03334767576346415,0.024364979557117618,41.0,0.0,41.0
sleep_sufficient,sleep_sufficient,0.03099657019718997,0.014677984631055914,42.0,0.0,42.0
water_sufficient_lag1,water_sufficient,0.02930866038497324,0.023241249183076716,38.0,0.0,43.0
smoke_past_mean,smoke,0.027264711495127623,0.03451636489947317,59.0,0.0,44.0
insulin_delta1,insulin,0.02605207039911246,0.019038116662619932,42.0,0.0,45.0
calorie_intake_past_mean,calorie_intake,0.023839263512186005,0.02615231394971939,45.0,0.0,46.0
take_medicine,take_medicine,0.02138522874637565,0.021606426944949124,47.0,0.0,47.0
pain_killer,pain_killer,0.021086612655359875,0.032322335933553804,52.0,0.0,48.0
take_medicine_lag1,take_medicine,0.020243730312091868,0.015415411542700415,50.0,0.0,49.0
heart_disease_past_mean,heart_disease,0.02016096431201237,0.011699774835102976,42.0,0.0,50.0
water_sufficient,water_sufficient,0.01708339415960245,0.015367530983739375,54.0,0.0,51.0
zarda_betel_past_mean,zarda_betel,0.01633146420604634,0.00970732668831405,47.0,0.0,52.0
smoke,smoke,0.015644838289189368,0.017746071060028915,57.0,0.0,53.0
urination_proper_past_mean,urination_proper,0.015538753774269373,0.01758801165630176,56.0,0.0,54.0
sleep_sufficient_lag1,sleep_sufficient,0.014655041451018933,0.010273984502278314,49.0,0.0,55.0
urinary_infection_lag1,urinary_infection,0.014588325128204493,0.01284191215081707,50.0,0.0,56.0
take_medicine_delta1,take_medicine,0.011877419575114706,0.02032410765081954,62.0,0.0,57.0
walk_regularly_past_mean,walk_regularly,0.010924395597044436,0.012067923817882546,54.0,0.0,58.0
sleep_sufficient_past_mean,sleep_sufficient,0.009274126882655751,0.010364716187197889,53.0,0.0,59.0
hypertension,hypertension,0.009057946200365841,0.011870403227714803,59.0,0.0,60.0
follow_diet_lag1,follow_diet,0.008043814803188568,0.006436328909519689,57.0,0.0,61.0
walk_regularly_lag1,walk_regularly,0.007064692821916442,0.006001270717618661,55.0,0.0,62.0
water_sufficient_past_mean,water_sufficient,0.006858537074248193,0.006563647615790639,55.0,0.0,63.0
urination_proper,urination_proper,0.006448429529694542,0.0065294398553761845,60.0,0.0,64.0
insulin_lag1,insulin,0.006262563059589129,0.005996655719943837,62.0,0.0,65.0
smoke_lag1,smoke,0.005609195966523061,0.005622053660062115,61.0,0.0,66.0
zarda_betel_lag1,zarda_betel,0.004240174995573821,0.0057182104142161965,62.0,0.0,67.0
hypertension_delta1,hypertension,0.0036016425845493438,0.006795151846033918,64.0,0.0,68.0
calorie_intake_past_min,calorie_intake,0.002594598047167424,0.0025922492467586244,63.0,0.0,69.0
calorie_intake_past_max,calorie_intake,0.0017959212175154538,0.0026433387818985718,66.0,0.0,70.0
calorie_intake_delta1,calorie_intake,0.0,0.0,70.0,0.0,71.0
heart_disease_delta1,heart_disease,0.0,0.0,70.0,0.0,71.0
smoke_delta1,smoke,0.0,0.0,70.0,0.0,71.0
sleep_sufficient_delta1,sleep_sufficient,0.0,0.0,70.0,0.0,71.0
pain_killer_delta1,pain_killer,0.0,0.0,70.0,0.0,71.0
urinary_infection_delta1,urinary_infection,0.0,0.0,70.0,0.0,71.0
walk_regularly_delta1,walk_regularly,0.0,0.0,70.0,0.0,71.0
urination_proper_delta1,urination_proper,0.0,0.0,70.0,0.0,71.0
water_sufficient_delta1,water_sufficient,0.0,0.0,70.0,0.0,71.0
zarda_betel_delta1,zarda_betel,0.0,0.0,70.0,0.0,71.0
