outer_fold,examples,patients,positives,prevalence
1,682,80,37,0.054252199413489736
2,678,80,37,0.05457227138643068
3,682,80,37,0.054252199413489736
4,680,80,37,0.054411764705882354
5,677,80,37,0.05465288035450517
