comparison,model,pr_auc_mean,pr_auc_std,roc_auc_mean,mcc_mean
current_plus_history,lightgbm,0.544725638356827,0.03515061588820768,0.8930072899149055,0.5492320751356973
current_only,lightgbm,0.5548702548739842,0.03476692097490181,0.9029226886229091,0.5346713573782014
recalculated_bmi,lightgbm,0.544725638356827,0.03515061588820768,0.8930072899149055,0.5492320751356973
stored_bmi,lightgbm,0.5570572427398723,0.04308565756929547,0.8940357176246552,0.537852227390052
