outer_fold,method,pr_auc,brier,ece10,slope,intercept
1,raw,0.5580627710241794,0.04388352792865777,0.044413430750024824,0.6419558152907776,-1.4099368056857675
1,sigmoid,0.6023322279519202,0.03015598282101862,0.01611848938399626,1.1292426459102207,0.13837907638399025
1,isotonic,0.6091932615042621,0.030306271389323788,0.014650303307364965,0.957717336650581,-0.19425093586040723
2,raw,0.5193477170297298,0.04185281224754362,0.04074674882656913,0.35394053290177063,-0.8855477702424043
2,sigmoid,0.5368580927908024,0.03546224342401809,0.006320704835654326,1.0483895907417184,0.11624776164008419
2,isotonic,0.5181764869891567,0.03578099088558443,0.019893558286656374,0.8299372114302751,-0.2768718247301562
3,raw,0.596206506344397,0.04350839128313448,0.03866205056175903,0.7067051431948808,-1.2136752533971107
3,sigmoid,0.6038922224970696,0.03290726887068082,0.01696508869331398,1.1562092508730726,0.23275975598573975
3,isotonic,0.597328319576723,0.03319227556405607,0.01148082010550262,1.0759185960220516,-0.010517391900245537
4,raw,0.5064004180546594,0.03606249767113507,0.032041638600010657,0.35458909059490756,-0.8316437792649197
4,sigmoid,0.5556599594938565,0.0338917199465169,0.013171625899131829,1.2451580279284966,0.6451858485429629
4,isotonic,0.5560228920700404,0.03268908102069141,0.011771639671869286,1.0335407653281123,0.10186137993855218
5,raw,0.543610779331169,0.03783364829035631,0.030873449525564825,0.5861351170621891,-0.9390531870610944
5,sigmoid,0.5549768841510342,0.032061508202089646,0.011463403402784327,1.0363851573689435,-0.04140923268829033
5,isotonic,0.5315615586172124,0.032651853975493236,0.008227733041170691,0.9425394222061422,-0.23594072739087776
