model,imbalance_strategy,pr_auc_mean,pr_auc_std,f1_mean,mcc_mean,sensitivity_mean,specificity_mean
catboost,none,0.5765766527665125,0.047854433837103194,0.5751297553585456,0.555139010616457,0.5405405405405406,0.9807084088049043
catboost,class_weight,0.5613119864615939,0.03860328847263151,0.5633284574701191,0.5419387213795175,0.5513513513513514,0.9766599712860083
catboost,smotenc,0.5279122964885572,0.03047555142824736,0.5759034366930732,0.559473120805099,0.5243243243243244,0.9832025962925746
lightgbm,class_weight,0.5627920507177145,0.03969693964183507,0.5730336451911795,0.5514145985585278,0.5621621621621622,0.977292289956002
lightgbm,none,0.5562248574233879,0.034006467273898756,0.5783529786556227,0.554972083679764,0.5837837837837838,0.9744996241479555
lightgbm,smotenc,0.540271897355237,0.03721847395815184,0.5354802680175814,0.5135135307458548,0.49729729729729727,0.9794598773819484
xgboost,none,0.5862463925444863,0.04183981740314944,0.5826370447395084,0.5628436997886479,0.5945945945945945,0.9738281125764724
xgboost,class_weight,0.5657325277002359,0.05077923435476855,0.5515686792231416,0.5300608428832367,0.572972972972973,0.9710805409909984
xgboost,smotenc,0.5327922789346076,0.04057018795475982,0.5497943550301476,0.5338718367170626,0.5621621621621621,0.9722985054461313
