model,comparison_role,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std,accuracy_mean,accuracy_std,runtime_seconds,eligible_for_selection,pr_auc_oof,roc_auc_oof,mcc_oof,f1_oof,balanced_accuracy_oof,accuracy_oof,sensitivity_oof,specificity_oof,brier_oof,ece10_oof,pr_auc_ci_low,pr_auc_ci_high,roc_auc_ci_low,roc_auc_ci_high,statistically_tied_with_provisional_top,selected_model
lightgbm,main,0.5447256383568269,0.03515061588820767,0.8930072899149055,0.01786238979565298,0.5492320751356973,0.06539344130377542,0.5726485418027707,0.0634609198619253,0.7834526363851511,0.0399755689811349,0.5945945945945945,0.08108108108108106,0.9723106781757075,0.008093451628423004,0.04062817548416545,0.003501695800538895,0.951746521968005,0.008089164619605311,271.3214557170868,True,0.5209037719410397,0.8711616407944971,0.5477926684096607,0.5729166666666666,0.7834516221261709,0.951750514857311,0.5945945945945946,0.9723086496577473,0.04063353160200645,0.036000730080511266,0.44292193503401395,0.6005132473100746,0.8371800143395632,0.9009986377929704,True,True
catboost,main,0.5754789333947059,0.03692693220590483,0.900770302111545,0.014175032396138185,0.5504485252985462,0.056541138123594306,0.5748230721193951,0.05354000922729289,0.7767401201393174,0.03199736007691696,0.5783783783783785,0.06222088882822346,0.9751018619002563,0.003182481736283545,0.05444653658103847,0.012164892361121369,0.9535060566044187,0.005656201291570403,1556.0847342014313,True,0.549912285201323,0.8876604046485814,0.5506908633008352,0.5752688172043011,0.77674363847357,0.9535157399235069,0.5783783783783784,0.9751088985687617,0.05447770623298372,0.07872133595501325,0.4691666436200993,0.6256936383819,0.8566108979500574,0.9137513308344561,True,False
xgboost,main,0.5728611165091158,0.04036138470292723,0.8998436010335503,0.029830114019954366,0.552377365073966,0.03243415680362608,0.5723089310045832,0.03399125842245546,0.7627116265474262,0.03484196486390404,0.5459459459459459,0.07499695635411678,0.9794773071489065,0.006294217963272091,0.04411991066588008,0.00343201391017674,0.955874605826641,0.0031986575693401056,211.65878319740295,True,0.5701511884696524,0.8909298844581981,0.5514598189172801,0.5738636363636364,0.7627053936325872,0.9558693733451015,0.5459459459459459,0.9794648413192284,0.04411831308454687,0.04547472262047869,0.4984414749319434,0.643019021848746,0.8607380175888882,0.9171890730657136,True,False
random_forest,main,0.5354828552153407,0.038607347882749776,0.9055348976450347,0.009845180819721154,0.5621456251759972,0.047229858861243604,0.5842675365299088,0.04560376961704757,0.7730522376420328,0.030028707116110824,0.5675675675675675,0.06043426966215647,0.9785369077164981,0.003668212163243006,0.04516160264411038,0.008419288573282028,0.9561639509751145,0.004446740392409019,623.9487462043762,True,0.5010082763229509,0.8951201668376529,0.5621350850532446,0.584958217270195,0.7730494962915622,0.9561635775228008,0.5675675675675675,0.9785314250155569,0.04517600961935744,0.06675316008097457,0.42178074239034724,0.5821217277614066,0.8659990548370268,0.9212224890533182,True,False
hist_gradient_boosting,exploratory,0.5348876905069506,0.04966064467099204,0.9028295786296621,0.013915106191650851,0.5538019944128258,0.05301537996143423,0.5775204239992971,0.050387098166840845,0.7746592636767433,0.02834925782640198,0.572972972972973,0.05538892305924108,0.9763455543805136,0.004087451648025217,0.0644136683829349,0.007893283286880362,0.9543905715438947,0.005575861107082058,136.8476161956787,True,0.532139223441532,0.8967683613918835,0.553577038828968,0.5776566757493188,0.7746632133066482,0.9543983524566049,0.572972972972973,0.9763534536403236,0.06439408970572352,0.10756360023951027,0.4551235576624224,0.6068436167369271,0.8694230339479341,0.9211029840207535,True,False
extra_trees,exploratory,0.508769288055207,0.0801070633431283,0.8780523684420594,0.007208226920595513,0.46904483095039834,0.03135370717802042,0.49284287156131656,0.03143094710461555,0.7536954449936666,0.04521658629540521,0.5459459459459459,0.10708979868194032,0.9614449440413871,0.018631853854209016,0.0557572931437629,0.021545437643574132,0.9388160652510965,0.0125160016359357,328.0662679672241,True,0.4536177655524602,0.863572377604736,0.4629502906704488,0.4926829268292683,0.7536823693637633,0.9388055310385407,0.5459459459459459,0.9614187927815806,0.05579578148848429,0.09164853851657791,0.38412562996490746,0.5333994671928358,0.8318360117771935,0.8940694639661778,False,False
svm_rbf,main,0.4392374792076191,0.10008729010661535,0.8528576285372187,0.018048748813443198,0.40674311704880395,0.049125334694570935,0.4355286591120476,0.042243220967057876,0.7323268984584519,0.03934510695312102,0.5135135135135135,0.08963850784744323,0.9511402834033902,0.01610478129224003,0.04080180567909408,0.002740258138352677,0.9273159451330646,0.012197664009917389,213.54840755462646,True,0.4204764788892662,0.852204039758489,0.40234616362532394,0.43478260869565216,0.7323323634773542,0.9273315681082671,0.5135135135135135,0.9511512134411948,0.040794899939768786,0.013885654935644335,0.3517056016202599,0.4981919809658594,0.8209238415555605,0.8802697153052724,False,False
decision_tree,main,0.43074027799822573,0.030991592201153505,0.8542428206208657,0.06427005214767162,0.5561442604042657,0.04059260470309744,0.576041444893904,0.036201825558505756,0.7652537157898477,0.0292771455618196,0.5513513513513514,0.06222088882822344,0.9791560802283442,0.006548705098576287,0.11180075422949791,0.0051877672286595265,0.9558698282394712,0.004975796182746613,9.129713773727417,True,0.46502177284760804,0.8478178240468222,0.5536734678719806,0.576271186440678,0.7652525269513446,0.9558693733451015,0.5513513513513514,0.9791537025513379,0.1117914101994471,0.17623617107732095,0.3874095940412152,0.543656753445312,0.8110518669092673,0.8835752374798312,False,False
logistic_regression,main,0.38693139633297235,0.08076327395605165,0.8495870622145894,0.019326798199041956,0.3555980033583193,0.04798978451159005,0.3818839785967592,0.0395999926731941,0.7164375238628311,0.056659522366685526,0.49729729729729727,0.1412145997579798,0.9355777504283649,0.03292146312971817,0.1499792039485127,0.007211269267814098,0.9117175458158326,0.024678308012155998,32.02438235282898,True,0.37041967294549183,0.8490337879883617,0.346714089279262,0.38016528925619836,0.7164457861719841,0.911738746690203,0.4972972972972973,0.9355942750466708,0.1499758180320752,0.27365614681939676,0.31312919830525393,0.4346122938469461,0.8194041007522795,0.8756596092752064,False,False
mlp,main,0.3173707154518052,0.03185112399719973,0.794688282806739,0.03079051555824183,0.2719273705667762,0.024778090336135247,0.30216597358417696,0.036684856013340435,0.6340093406893775,0.038932806031396386,0.3081081081081081,0.09856531096654308,0.959910573270647,0.021830543573027737,0.07322480699940884,0.01049544478123458,0.9244189173918052,0.01548052651242935,480.9603066444397,True,0.30225065993870964,0.782184362333709,0.26729146911975765,0.30727762803234504,0.6339856035251181,0.9243895263312739,0.3081081081081081,0.9598630989421282,0.07322235834898329,0.07353064726157046,0.24504887635526315,0.37386879107890253,0.7457222442460356,0.820036837771914,False,False
