outer_fold,feature,feature_family,mean_abs_shap,rank
2,walk_regularly,walk_regularly,0.1532438519934405,18.0
2,urination_proper,urination_proper,0.0007488574182020232,67.0
2,urinary_infection,urinary_infection,0.006786978258698615,59.0
2,pain_killer,pain_killer,0.004197251368389734,62.0
2,calorie_intake,calorie_intake,0.18770977461209057,14.0
2,prior_visit_count,prior_visit_count,1.7568310035261792,1.0
2,weight_kg_lag1,weight_kg,0.08181453179008835,27.0
2,weight_kg_delta1,weight_kg,0.05506269982980104,33.0
2,weight_kg_past_mean,weight_kg,0.17842595186860913,15.0
2,bmi_current_lag1,bmi,0.1220547188500262,22.0
2,bmi_current_delta1,bmi,0.5515191163006592,3.0
2,bmi_current_past_mean,bmi,0.11245527260691238,24.0
2,calorie_intake_lag1,calorie_intake,0.4742447341985571,6.0
2,calorie_intake_delta1,calorie_intake,0.0,69.0
2,calorie_intake_past_mean,calorie_intake,0.06608714320303107,29.0
2,follow_diet_lag1,follow_diet,0.004300131646492172,61.0
2,follow_diet_delta1,follow_diet,0.08989299653510821,26.0
2,follow_diet_past_mean,follow_diet,0.11851246390713917,23.0
2,take_medicine_lag1,take_medicine,0.0411508683532676,38.0
2,take_medicine_delta1,take_medicine,0.0481786938870991,34.0
2,take_medicine_past_mean,take_medicine,0.06545676096417623,30.0
2,insulin_lag1,insulin,0.012875208535148485,56.0
2,insulin_delta1,insulin,0.047366491184661484,35.0
2,insulin_past_mean,insulin,0.21892305607222562,12.0
2,hypertension_lag1,hypertension,0.14873643759627392,19.0
2,hypertension_delta1,hypertension,0.0010375250520551441,64.0
2,hypertension_past_mean,hypertension,0.06492708059023361,31.0
2,heart_disease_lag1,heart_disease,0.17631191802158122,16.0
2,heart_disease_delta1,heart_disease,0.0,69.0
2,heart_disease_past_mean,heart_disease,0.03993882426764209,39.0
2,sleep_sufficient_lag1,sleep_sufficient,0.00597289693401778,60.0
2,sleep_sufficient_delta1,sleep_sufficient,0.0,69.0
2,sleep_sufficient_past_mean,sleep_sufficient,0.0,69.0
2,water_sufficient_lag1,water_sufficient,0.06425470404256221,32.0
2,water_sufficient_delta1,water_sufficient,0.0,69.0
2,water_sufficient_past_mean,water_sufficient,0.013802600199547665,55.0
2,smoke_lag1,smoke,0.015139886751771298,52.0
2,smoke_delta1,smoke,0.0,69.0
2,smoke_past_mean,smoke,0.07640793687500122,28.0
2,zarda_betel_lag1,zarda_betel,0.0,69.0
2,zarda_betel_delta1,zarda_betel,0.0,69.0
2,zarda_betel_past_mean,zarda_betel,0.030030062290339127,43.0
2,walk_regularly_lag1,walk_regularly,0.015281193689246702,51.0
2,walk_regularly_delta1,walk_regularly,0.0,69.0
2,walk_regularly_past_mean,walk_regularly,0.003421801978696962,63.0
2,urination_proper_lag1,urination_proper,0.04326985536626034,37.0
2,urination_proper_delta1,urination_proper,0.0,69.0
2,urination_proper_past_mean,urination_proper,0.04487907035356009,36.0
2,urinary_infection_lag1,urinary_infection,0.03708285757523494,41.0
2,urinary_infection_delta1,urinary_infection,0.0,69.0
2,urinary_infection_past_mean,urinary_infection,0.3839630876248147,8.0
2,pain_killer_lag1,pain_killer,0.014881500355374501,54.0
2,pain_killer_delta1,pain_killer,0.0,69.0
2,pain_killer_past_mean,pain_killer,0.03759941818582852,40.0
2,weight_kg_past_min,weight_kg,0.17403987796345669,17.0
2,weight_kg_past_max,weight_kg,0.19973915568790734,13.0
2,weight_kg_past_slope,weight_kg,0.36300301442106986,9.0
2,bmi_current_past_min,bmi,0.10183169218711027,25.0
2,bmi_current_past_max,bmi,0.2456550645835593,10.0
2,bmi_current_past_slope,bmi,0.23559052861759802,11.0
2,calorie_intake_past_min,calorie_intake,0.0008092771040244564,65.0
2,calorie_intake_past_max,calorie_intake,0.00017943376200483702,68.0
2,calorie_intake_past_slope,calorie_intake,0.4803329018272825,5.0
3,gender,gender,0.03365005804204941,36.0
3,job,job,0.022058933119999645,41.0
3,family_diabetes,family_diabetes,0.010932254022101533,50.0
3,height_cm,height_cm,0.14259201846395406,10.0
3,diabetic_year,diabetic_year,1.1630877053493607,1.0
3,age,age,0.35826361706959625,5.0
3,weight_kg,weight_kg,0.18114413376792948,8.0
3,bmi_current,bmi,0.10988993240052404,15.0
3,follow_diet,follow_diet,0.007316631845789232,58.0
3,take_medicine,take_medicine,0.01597572454902267,46.0
3,insulin,insulin,0.00806148810037282,56.0
3,hypertension,hypertension,0.0011596638099357977,68.0
3,heart_disease,heart_disease,0.24148236139861626,7.0
3,sleep_sufficient,sleep_sufficient,0.019800130148096003,42.0
3,water_sufficient,water_sufficient,0.0026294430974034577,67.0
3,smoke,smoke,0.0036454910511612548,65.0
3,zarda_betel,zarda_betel,0.0338873340217417,35.0
3,walk_regularly,walk_regularly,0.11704794688385292,14.0
3,urination_proper,urination_proper,0.004068455081927699,64.0
3,urinary_infection,urinary_infection,0.09422206223685063,18.0
3,pain_killer,pain_killer,0.008747561938833791,53.0
3,calorie_intake,calorie_intake,0.28013663436515895,6.0
3,prior_visit_count,prior_visit_count,1.0709193026487847,2.0
3,weight_kg_lag1,weight_kg,0.07619878166282094,24.0
3,weight_kg_delta1,weight_kg,0.12912210749537786,11.0
3,weight_kg_past_mean,weight_kg,0.0983545200090525,17.0
3,bmi_current_lag1,bmi,0.05800020687255791,28.0
3,bmi_current_delta1,bmi,0.1550755022517282,9.0
3,bmi_current_past_mean,bmi,0.08123749273800664,20.0
3,calorie_intake_lag1,calorie_intake,0.08561236073456494,19.0
3,calorie_intake_delta1,calorie_intake,0.0,70.0
3,calorie_intake_past_mean,calorie_intake,0.01603571596036034,45.0
3,follow_diet_lag1,follow_diet,0.018721785320302282,43.0
3,follow_diet_delta1,follow_diet,0.12759969082272576,12.0
3,follow_diet_past_mean,follow_diet,0.0590763095533579,27.0
3,take_medicine_lag1,take_medicine,0.028410196337527477,37.0
3,take_medicine_delta1,take_medicine,0.0008764275998152899,69.0
3,take_medicine_past_mean,take_medicine,0.04814432764062163,31.0
3,insulin_lag1,insulin,0.003011535908343007,66.0
3,insulin_delta1,insulin,0.010270935000105915,51.0
3,insulin_past_mean,insulin,0.07683258253340253,23.0
3,hypertension_lag1,hypertension,0.045446818187594,32.0
3,hypertension_delta1,hypertension,0.0,70.0
3,hypertension_past_mean,hypertension,0.026213839777400293,40.0
3,heart_disease_lag1,heart_disease,0.007575393779903712,57.0
3,heart_disease_delta1,heart_disease,0.0,70.0
3,heart_disease_past_mean,heart_disease,0.009515967817764554,52.0
3,sleep_sufficient_lag1,sleep_sufficient,0.028090323159292382,38.0
3,sleep_sufficient_delta1,sleep_sufficient,0.0,70.0
3,sleep_sufficient_past_mean,sleep_sufficient,0.026924426529748295,39.0
3,water_sufficient_lag1,water_sufficient,0.03929532065506245,33.0
3,water_sufficient_delta1,water_sufficient,0.0,70.0
3,water_sufficient_past_mean,water_sufficient,0.00836222997553392,54.0
3,smoke_lag1,smoke,0.0058804583438498165,61.0
3,smoke_delta1,smoke,0.0,70.0
3,smoke_past_mean,smoke,0.051104729867593075,29.0
3,zarda_betel_lag1,zarda_betel,0.005851493314844162,62.0
3,zarda_betel_delta1,zarda_betel,0.0,70.0
3,zarda_betel_past_mean,zarda_betel,0.015329637847488187,47.0
3,walk_regularly_lag1,walk_regularly,0.00807455394630215,55.0
3,walk_regularly_delta1,walk_regularly,0.0,70.0
3,walk_regularly_past_mean,walk_regularly,0.012900594398515963,48.0
3,urination_proper_lag1,urination_proper,0.010980423912329108,49.0
3,urination_proper_delta1,urination_proper,0.0,70.0
3,urination_proper_past_mean,urination_proper,0.01867600561055116,44.0
3,urinary_infection_lag1,urinary_infection,0.006978297045359613,59.0
3,urinary_infection_delta1,urinary_infection,0.0,70.0
3,urinary_infection_past_mean,urinary_infection,0.08018189434048055,22.0
3,pain_killer_lag1,pain_killer,0.03694538592276753,34.0
3,pain_killer_delta1,pain_killer,0.0,70.0
3,pain_killer_past_mean,pain_killer,0.06289652054088098,26.0
3,weight_kg_past_min,weight_kg,0.08065583284446891,21.0
3,weight_kg_past_max,weight_kg,0.05031615329480409,30.0
3,weight_kg_past_slope,weight_kg,0.1089035010918823,16.0
3,bmi_current_past_min,bmi,0.11735591108054592,13.0
3,bmi_current_past_max,bmi,0.4618870973295704,3.0
3,bmi_current_past_slope,bmi,0.0630330952192756,25.0
3,calorie_intake_past_min,calorie_intake,0.004406498290462323,63.0
3,calorie_intake_past_max,calorie_intake,0.00603132983041138,60.0
3,calorie_intake_past_slope,calorie_intake,0.36110615160347764,4.0
4,gender,gender,0.08945695327072194,32.0
4,job,job,0.08441943150200383,34.0
4,family_diabetes,family_diabetes,0.07979276498311952,36.0
4,height_cm,height_cm,0.2412650040573339,17.0
4,diabetic_year,diabetic_year,2.2752653118729196,1.0
4,age,age,0.597306136288819,3.0
4,weight_kg,weight_kg,0.25081290128793604,14.0
4,bmi_current,bmi,0.2094763406283867,24.0
4,follow_diet,follow_diet,0.13348007851390706,29.0
4,take_medicine,take_medicine,0.05915006999801254,39.0
4,insulin,insulin,0.25957821335490844,13.0
4,hypertension,hypertension,0.029289105801296227,45.0
4,heart_disease,heart_disease,0.17664026896605123,26.0
4,sleep_sufficient,sleep_sufficient,0.023678664702000744,48.0
4,water_sufficient,water_sufficient,0.015561272768248443,54.0
4,smoke,smoke,0.018204541001115453,51.0
4,zarda_betel,zarda_betel,0.18520885379689414,25.0
4,walk_regularly,walk_regularly,0.47880773197849713,7.0
4,urination_proper,urination_proper,0.01474489404055796,55.0
4,urinary_infection,urinary_infection,0.24001897086548427,18.0
4,pain_killer,pain_killer,0.078752460218882,37.0
4,calorie_intake,calorie_intake,0.5095453158334045,5.0
4,prior_visit_count,prior_visit_count,2.218801401053174,2.0
4,weight_kg_lag1,weight_kg,0.41670261583876367,8.0
4,weight_kg_delta1,weight_kg,0.06514083744242061,38.0
4,weight_kg_past_mean,weight_kg,0.24459128728175067,15.0
4,bmi_current_lag1,bmi,0.2437240724866129,16.0
4,bmi_current_delta1,bmi,0.31920900712728273,10.0
4,bmi_current_past_mean,bmi,0.23165542259963307,19.0
4,calorie_intake_lag1,calorie_intake,0.10081032884862616,31.0
4,calorie_intake_delta1,calorie_intake,0.0,70.0
4,calorie_intake_past_mean,calorie_intake,0.030057388508020245,44.0
4,follow_diet_lag1,follow_diet,0.006370804489876245,60.0
4,follow_diet_delta1,follow_diet,0.22529800669570307,22.0
4,follow_diet_past_mean,follow_diet,0.11231663078167543,30.0
4,take_medicine_lag1,take_medicine,0.020552559600399662,50.0
4,take_medicine_delta1,take_medicine,0.003669605695217722,64.0
4,take_medicine_past_mean,take_medicine,0.08639543549842742,33.0
4,insulin_lag1,insulin,0.012514900966612404,57.0
4,insulin_delta1,insulin,0.04635301324448286,40.0
4,insulin_past_mean,insulin,0.2256500619272076,21.0
4,hypertension_lag1,hypertension,0.03884827044616926,41.0
4,hypertension_delta1,hypertension,0.015712961777379495,53.0
4,hypertension_past_mean,hypertension,0.08224491052400944,35.0
4,heart_disease_lag1,heart_disease,0.033060899352275436,42.0
4,heart_disease_delta1,heart_disease,0.0,70.0
4,heart_disease_past_mean,heart_disease,0.015796485623186744,52.0
4,sleep_sufficient_lag1,sleep_sufficient,0.023122825364788654,49.0
4,sleep_sufficient_delta1,sleep_sufficient,0.0,70.0
4,sleep_sufficient_past_mean,sleep_sufficient,0.004067035520298746,63.0
4,water_sufficient_lag1,water_sufficient,0.007638747779118595,59.0
4,water_sufficient_delta1,water_sufficient,0.0,70.0
4,water_sufficient_past_mean,water_sufficient,0.0,70.0
4,smoke_lag1,smoke,0.000858666707378862,69.0
4,smoke_delta1,smoke,0.0,70.0
4,smoke_past_mean,smoke,0.0035652442293434257,65.0
4,zarda_betel_lag1,zarda_betel,0.013533249041438376,56.0
