experiment,setting,model,pr_auc_mean,pr_auc_std,mcc_mean,sensitivity_mean,specificity_mean
imbalance_strategy,none,catboost,0.5765766527665125,0.047854433837103194,0.555139010616457,0.5405405405405406,0.9807084088049043
imbalance_strategy,class_weight,catboost,0.5613119864615939,0.03860328847263151,0.5419387213795175,0.5513513513513514,0.9766599712860083
imbalance_strategy,smotenc,catboost,0.5279122964885572,0.03047555142824736,0.559473120805099,0.5243243243243244,0.9832025962925746
imbalance_strategy,class_weight,lightgbm,0.5627920507177145,0.03969693964183507,0.5514145985585278,0.5621621621621622,0.977292289956002
imbalance_strategy,none,lightgbm,0.5562248574233879,0.034006467273898756,0.554972083679764,0.5837837837837838,0.9744996241479555
imbalance_strategy,smotenc,lightgbm,0.540271897355237,0.03721847395815184,0.5135135307458548,0.49729729729729727,0.9794598773819484
imbalance_strategy,none,xgboost,0.5862463925444863,0.04183981740314944,0.5628436997886479,0.5945945945945945,0.9738281125764724
imbalance_strategy,class_weight,xgboost,0.5657325277002359,0.05077923435476855,0.5300608428832367,0.572972972972973,0.9710805409909984
imbalance_strategy,smotenc,xgboost,0.5327922789346076,0.04057018795475982,0.5338718367170626,0.5621621621621621,0.9722985054461313
validation_protocol,patient_grouped,catboost,0.5754789333947059,0.03692693220590483,0.5504485252985462,,
validation_protocol,record_level,catboost,0.5801528560355267,0.0774591103101763,0.549350709742713,,
validation_protocol,patient_grouped,lightgbm,0.5447256383568269,0.03515061588820767,0.5492320751356973,,
validation_protocol,record_level,lightgbm,0.5636497807273987,0.08843454031270788,0.5414716746393093,,
validation_protocol,patient_grouped,xgboost,0.5728611165091158,0.04036138470292723,0.552377365073966,,
validation_protocol,record_level,xgboost,0.5847614153814207,0.0761257164534556,0.5394081054242632,,
feature_sensitivity,current_plus_history,lightgbm,0.544725638356827,0.03515061588820768,0.5492320751356973,,
feature_sensitivity,current_only,lightgbm,0.5548702548739842,0.03476692097490181,0.5346713573782014,,
feature_sensitivity,recalculated_bmi,lightgbm,0.544725638356827,0.03515061588820768,0.5492320751356973,,
feature_sensitivity,stored_bmi,lightgbm,0.5570572427398723,0.04308565756929547,0.537852227390052,,
calibration,sigmoid,lightgbm,0.5381001137759405,,,,
calibration,isotonic,lightgbm,0.5457775343420448,,,,
calibration,raw,lightgbm,0.5209037719410397,,,,
seed_stability,7,catboost,0.5668935769186338,0.0732281840634027,0.5661650964609326,,
seed_stability,42,catboost,0.5754789333947059,0.03692693220590483,0.5504485252985462,,
seed_stability,2026,catboost,0.559305770130041,0.055901245432877125,0.5626890299781817,,
seed_stability,7,decision_tree,0.45149158989011007,0.09649591998507497,0.4946047277463091,,
seed_stability,42,decision_tree,0.43074027799822573,0.030991592201153505,0.5561442604042657,,
seed_stability,2026,decision_tree,0.44341473888498417,0.049109284130951704,0.5061809843836844,,
seed_stability,7,dummy,0.056013494980014775,0.0038006118112095676,-0.007259061001833609,,
seed_stability,42,dummy,0.05816463555411733,0.0081777422116841,0.02557352514004963,,
seed_stability,2026,dummy,0.05450375812431425,0.0004309266920805608,0.003969892155514002,,
seed_stability,7,extra_trees,0.5008202307272467,0.04624616830540004,0.5133142131493732,,
seed_stability,42,extra_trees,0.508769288055207,0.0801070633431283,0.46904483095039834,,
seed_stability,2026,extra_trees,0.49590750694410124,0.10533607814007996,0.4950676520057993,,
seed_stability,7,hist_gradient_boosting,0.5587900794938039,0.08016151904503825,0.5579679322253975,,
seed_stability,42,hist_gradient_boosting,0.5348876905069506,0.04966064467099204,0.5538019944128258,,
seed_stability,2026,hist_gradient_boosting,0.5285243763801899,0.03009342469591433,0.5498223437911811,,
seed_stability,7,lightgbm,0.5433792078558674,0.07451745910220033,0.5389480435685785,,
seed_stability,42,lightgbm,0.5447256383568269,0.03515061588820767,0.5492320751356973,,
seed_stability,2026,lightgbm,0.563075737795389,0.06785914739402354,0.5594610521677339,,
seed_stability,7,logistic_regression,0.3860331192043521,0.03557958045984856,0.37747265194722657,,
seed_stability,42,logistic_regression,0.38693139633297235,0.08076327395605165,0.3555980033583193,,
seed_stability,2026,logistic_regression,0.37299375839812365,0.06209146430781984,0.374412263522743,,
seed_stability,7,mlp,0.29832871816342854,0.06429269001116625,0.3060929552264945,,
seed_stability,42,mlp,0.3173707154518052,0.03185112399719973,0.2719273705667762,,
seed_stability,2026,mlp,0.2832937576112735,0.04104262841131331,0.3066818321000839,,
seed_stability,7,random_forest,0.5148135446714104,0.04516318953989884,0.5587076688221373,,
seed_stability,42,random_forest,0.5354828552153407,0.038607347882749776,0.5621456251759972,,
seed_stability,2026,random_forest,0.5215105244865043,0.04828869396060778,0.5636472856233381,,
seed_stability,7,svm_rbf,0.42536563278475337,0.06507922896344516,0.39363102578051656,,
seed_stability,42,svm_rbf,0.4392374792076191,0.10008729010661535,0.40674311704880395,,
seed_stability,2026,svm_rbf,0.4151010317509266,0.08111456155717747,0.395886368785637,,
seed_stability,7,time_only_logistic,0.12900092066259244,0.027985821879379466,0.13251065440554297,,
seed_stability,42,time_only_logistic,0.1305284908316381,0.029398209108903183,0.1347905020486065,,
seed_stability,2026,time_only_logistic,0.11815081573961375,0.017799156281967196,0.12257605157191678,,
seed_stability,7,xgboost,0.5565587793882079,0.05172422682999398,0.5526950876793701,,
seed_stability,42,xgboost,0.5728611165091158,0.04036138470292723,0.552377365073966,,
seed_stability,2026,xgboost,0.5610100559694088,0.04530039352446701,0.5241881042814169,,
