variable,count,mean,std,min,25%,50%,75%,max
age,3399.0,50.297734627831716,10.939163630230976,16.0,43.0,50.0,57.0,88.0
diabetic_year,3399.0,8.850544277728744,6.525453321534549,1.0,4.0,7.0,12.0,40.0
height_cm,3399.0,158.37512209473377,7.965104166319565,132.08,152.4,157.48,164.0,182.88
weight_kg,3399.0,61.41276846131215,9.97952414952554,30.0,54.0,62.0,68.0,93.0
bmi_current,3399.0,24.5145245895889,3.841152116099208,12.916692500051665,22.061568457388525,24.337479718766904,26.922640705262694,42.48851502330986
calorie_intake,3399.0,1451.726978523095,213.0474547192544,1000.0,1300.0,1400.0,1500.0,2400.0
