method,pr_auc_oof,brier_oof,ece10_oof,slope_oof,intercept_oof,selected_calibration
sigmoid,0.5381001137759405,0.032893365493283165,0.0072887775011901326,1.1096149365849906,0.1855080713540127,True
isotonic,0.5457775343420448,0.03292127127923224,0.008598997321005731,0.9569820973189203,-0.13721491991799004,False
raw,0.5209037719410397,0.04063353160200645,0.036000730080511266,0.47419495431656034,-1.1586081079073771,False
