Fold,model__class_weight,model__colsample_bytree,model__learning_rate,model__max_depth,model__min_child_samples,model__n_estimators,model__num_leaves,model__subsample
1,,0.8244973703390804,0.10573171868844745,5,10,104,45,0.6943939678995823
2,balanced,0.6205915004999957,0.07966161605915285,3,10,225,21,0.8123738333268545
3,,0.9186171947440931,0.05585869746654095,10,38,120,58,0.7783331011414365
4,,0.9186171947440931,0.05585869746654095,10,38,120,58,0.7783331011414365
5,balanced,0.6205915004999957,0.07966161605915285,3,10,225,21,0.8123738333268545
