Model,Adjustment,Fold,Threshold,PR_AUC,MCC,F1,Sensitivity,Specificity,Brier_Score
LightGBM,None,1,0.25,0.46857313845810084,0.40489414449638816,0.44025157232704404,0.813953488372093,0.782258064516129,0.09253929976073229
LightGBM,Class Weighting,1,0.9099999999999999,0.4691943462593403,0.47733178571307766,0.5317919075144508,0.5348837209302325,0.9448924731182796,0.153900617274385
LightGBM,SMOTENC,1,0.5599999999999999,0.5008890292404935,0.36529946634922555,0.4161073825503356,0.36046511627906974,0.956989247311828,0.07450169013242755
LightGBM,None,2,0.13,0.4198344649089372,0.3414591313745947,0.40268456375838924,0.39473684210526316,0.9406077348066298,0.09054647197377527
LightGBM,Class Weighting,2,0.6,0.4251701071348931,0.35329246410179604,0.40298507462686567,0.35526315789473684,0.9571823204419889,0.09417513197214991
LightGBM,SMOTENC,2,0.7699999999999999,0.40966114605890763,0.3641831129650277,0.40625,0.34210526315789475,0.9640883977900553,0.09712301919690791
LightGBM,None,3,0.28,0.4825804706346671,0.4616467150492923,0.5103448275862069,0.5362318840579711,0.9459084604715673,0.06355744406055995
LightGBM,Class Weighting,3,0.6799999999999999,0.4732258381364187,0.41624206237123273,0.4603174603174603,0.42028985507246375,0.9611650485436893,0.07792667642933944
LightGBM,SMOTENC,3,0.69,0.44608890272083207,0.3912745459628697,0.39603960396039606,0.2898550724637681,0.9833564493758669,0.06790524965636797
LightGBM,None,4,0.060000000000000005,0.3831863549911662,0.35112391459753883,0.41333333333333333,0.4246575342465753,0.9349363507779349,0.09040086266845804
LightGBM,Class Weighting,4,0.05,0.3859665930224884,0.3917809192364784,0.4523809523809524,0.5205479452054794,0.9193776520509194,0.0961964753741997
LightGBM,SMOTENC,4,0.05,0.36244731488087856,0.3754092771931586,0.43617021276595747,0.5616438356164384,0.8953323903818954,0.10023928295247996
LightGBM,None,5,0.01,0.44616270214746,0.369816609151684,0.43820224719101125,0.47560975609756095,0.9206128133704735,0.09506242139744987
LightGBM,Class Weighting,5,0.05,0.43172092220331176,0.3886224154902188,0.45454545454545453,0.4878048780487805,0.924791086350975,0.09696286466682139
LightGBM,SMOTENC,5,0.25999999999999995,0.40216517066223734,0.3365761635927914,0.4,0.3780487804878049,0.9415041782729805,0.09959589058033361
XGBoost,None,1,0.26,0.47502037118846013,0.46524631547059697,0.5235602094240838,0.5813953488372093,0.9260752688172043,0.07361023379526156
XGBoost,Class Weighting,1,0.25999999999999995,0.4577375697885567,0.4180425879423739,0.4811320754716981,0.5930232558139535,0.8991935483870968,0.08112372912242183
XGBoost,SMOTENC,1,0.19999999999999996,0.45601885091679173,0.4269969972185576,0.48,0.6976744186046512,0.8602150537634409,0.08141245987710109
XGBoost,None,2,0.45,0.5163495959389198,0.4257559669082695,0.48314606741573035,0.5657894736842105,0.9185082872928176,0.07699502558745133
XGBoost,Class Weighting,2,0.69,0.5121570792728645,0.4302843985867156,0.48322147651006714,0.47368421052631576,0.9488950276243094,0.0911299252609501
XGBoost,SMOTENC,2,0.63,0.4731704628016921,0.42784864104938936,0.4784688995215311,0.6578947368421053,0.8853591160220995,0.11631498676255707
XGBoost,None,3,0.060000000000000005,0.46621276485672986,0.34756599873485733,0.4,0.6086956521739131,0.8626907073509015,0.06509206360365777
XGBoost,Class Weighting,3,0.24999999999999994,0.4918287673508783,0.38607708856524264,0.4430379746835443,0.5072463768115942,0.9251040221914009,0.07204783381698937
XGBoost,SMOTENC,3,0.5399999999999999,0.4257814096513051,0.37483988224561304,0.4166666666666667,0.36231884057971014,0.9639389736477115,0.07357909358483716
XGBoost,None,4,0.09999999999999999,0.4302199900663524,0.39093724354680526,0.41216216216216217,0.8356164383561644,0.7708628005657708,0.07035047222078075
XGBoost,Class Weighting,4,0.69,0.4252979195246916,0.38938566563940735,0.4411764705882353,0.410958904109589,0.9533239038189534,0.08351913093094294
XGBoost,SMOTENC,4,0.7699999999999999,0.3973708699309891,0.35853584615775985,0.40625,0.3561643835616438,0.958981612446959,0.0909164755416851
XGBoost,None,5,0.18000000000000002,0.4392209325233577,0.3155716339638887,0.3923444976076555,0.5,0.8802228412256268,0.09289950095972949
XGBoost,Class Weighting,5,0.10999999999999999,0.4296170120941441,0.3444839966896735,0.41379310344827586,0.5853658536585366,0.8579387186629527,0.09489342443137373
XGBoost,SMOTENC,5,0.13999999999999999,0.4189600066902672,0.3281784572085621,0.4,0.573170731707317,0.8523676880222841,0.09915305338435426
Random_Forest,None,1,0.24000000000000002,0.48925227814972444,0.4030426407025125,0.45962732919254656,0.43023255813953487,0.9489247311827957,0.06986939221788134
Random_Forest,Class Weighting,1,0.6499999999999999,0.45949359004651397,0.39111558825637954,0.45493562231759654,0.6162790697674418,0.8736559139784946,0.1300679836253732
Random_Forest,SMOTENC,1,0.5399999999999999,0.44003546257535214,0.3930684937266008,0.4444444444444444,0.7209302325581395,0.8239247311827957,0.1259013545785803
Random_Forest,None,2,0.18000000000000002,0.5647901989649662,0.42956114349041247,0.4861878453038674,0.5789473684210527,0.9157458563535912,0.060387097660335204
Random_Forest,Class Weighting,2,0.4799999999999999,0.5380737879566118,0.41367579180542446,0.4397163120567376,0.8157894736842105,0.8011049723756906,0.11516745286483353
Random_Forest,SMOTENC,2,0.3,0.34947492660888824,0.30499627899073645,0.319634703196347,0.9210526315789473,0.5966850828729282,0.1265702020016584
Random_Forest,None,3,0.33,0.5400001720020053,0.45787119232259416,0.5,0.463768115942029,0.9625520110957004,0.05630872768973169
Random_Forest,Class Weighting,3,0.7799999999999999,0.558957566148781,0.4529783738262742,0.5,0.4927536231884058,0.9542302357836339,0.1336450046983703
Random_Forest,SMOTENC,3,0.5199999999999999,0.3539017450071063,0.27127699555413565,0.3402061855670103,0.4782608695652174,0.8723994452149791,0.13207044783538827
Random_Forest,None,4,0.33,0.49107438491810873,0.4392267035453896,0.4806201550387597,0.4246575342465753,0.9646393210749646,0.06331702731023092
Random_Forest,Class Weighting,4,0.6799999999999999,0.4487406300202879,0.4308900609143794,0.4711111111111111,0.726027397260274,0.85997171145686,0.15169749661602466
Random_Forest,SMOTENC,4,0.20999999999999996,0.2119805386930342,0.2613566215933169,0.28633405639913234,0.9041095890410958,0.5445544554455446,0.17859906633872738
Random_Forest,None,5,0.31,0.5052095047989316,0.3712728109081413,0.4246575342465753,0.3780487804878049,0.9540389972144847,0.06758534641873416
Random_Forest,Class Weighting,5,0.6,0.5149915864372117,0.4199410268045415,0.46564885496183206,0.7439024390243902,0.8342618384401114,0.13566612990264917
Random_Forest,SMOTENC,5,0.5199999999999999,0.3835635970939675,0.31300925236330285,0.3843137254901961,0.5975609756097561,0.8272980501392758,0.14483706796011245
