rank,feature,mean_abs_shap
1,Age_Diff,4.015365502985032
2,Diabetic_Year,2.5014147728291727
3,BMI,1.35887347737431
4,BMI_Diabetes,1.0289962719508359
5,Height,1.0158091645243759
6,Age_Diabetes,0.994701583915581
7,BMI_per_Year,0.9219018661933093
8,Calorie_Intake,0.8821947059257231
9,Age,0.8427551577155312
10,Take_Insulin,0.8322270944841449
11,Average_Age,0.7678893379152842
12,Weight_Diff,0.7484820209472436
13,Average_Weight,0.7210238228244293
14,Zarda_Betel_Leaf,0.5580775898749816
15,Walk_Regularly,0.5454009792561257
16,Pain_killer,0.44264124933986526
17,Risk_Score,0.41031283962795334
18,Family_Background_of_Diabetes,0.4079408280055549
19,Weight,0.3973932476890928
20,Current_BMI,0.3921661990212949
21,Water_Consumption,0.3481020488720666
22,Job,0.32968918889017823
23,Urinary_Infection,0.2916846530296203
24,Gender,0.24740578474262803
25,Lifestyle_Score,0.2401965381903903
26,Sleep,0.22933509536413477
27,Treatment_Score,0.22143915540450843
28,Follow_suggested_Diet,0.18963395923371376
29,Smoke,0.1886572540273317
30,Take_Medicine_for_Diabetes,0.10609108944568048
31,Hypertension,0.1019324868346005
32,Urination_Properly,0.08866145987830604
33,Heart_Disease,0.07182994558065355
