rank,feature,mean_abs_shap
1,Age_Diff,4.093360173197026
2,Diabetic_Year,2.033887907174105
3,Calorie_Intake,1.5100749357073548
4,BMI_per_Year,1.232887905732521
5,Average_Age,1.0788111562779763
6,Average_Weight,0.971003523826028
7,Height,0.9258335353898738
8,BMI_Diabetes,0.857358249299441
9,BMI,0.826355049977142
10,Age,0.816667939259532
11,Walk_Regularly,0.7390086512878817
12,Weight_Diff,0.5807843059920986
13,Age_Diabetes,0.5542417502012296
14,Urinary_Infection,0.5310871509462367
15,Family_Background_of_Diabetes,0.4859595383154801
16,Current_BMI,0.382930490725234
17,Weight,0.33618757693373036
18,Take_Insulin,0.30519817514988046
19,Treatment_Score,0.29778402239656004
20,Heart_Disease,0.2898120045872218
21,Lifestyle_Score,0.22667560159900188
22,Pain_killer,0.2230680796897797
23,Risk_Score,0.19081531594178963
24,Urination_Properly,0.17682718874436756
25,Hypertension,0.17054205178265358
26,Gender,0.16004827900246632
27,Zarda_Betel_Leaf,0.14938133400731954
28,Smoke,0.11100483436767693
29,Take_Medicine_for_Diabetes,0.10622802046990211
30,Sleep,0.10489794808232912
31,Job,0.08838397661925294
32,Follow_suggested_Diet,0.07904795831971492
33,Water_Consumption,0.07502461479841584
