Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.5397590361445783,0.6752625656414104,0.1853272481865883,0.25098039215686274,0.15870443879702772,0.7441860465116279,0.5161290322580645,0.6301575393848462,0.1105304035850426,"[[384 360]
 [ 22  64]]",64,384,360,22,1,0.01
0.5975,0.6791672724629253,0.1608546514279937,0.23696682464454977,0.1474026512111395,0.6578947368421053,0.5911602209944752,0.6245274789182902,0.0964332512334532,"[[428 296]
 [ 26  50]]",50,428,296,26,2,0.13
0.549367088607595,0.6822850710567047,0.17189585709898791,0.22270742358078602,0.15266898873760842,0.7391304347826086,0.5312066574202496,0.6351685461014291,0.09386195472409746,"[[383 338]
 [ 18  51]]",51,383,338,18,3,0.060000000000000005
0.8333333333333334,0.6567398422816841,0.17575645501795567,0.15584415584415584,0.0637659815450391,0.1643835616438356,0.9024045261669024,0.533394043905369,0.09590292473795474,"[[638  69]
 [ 61  12]]",12,638,69,61,4,0.32
0.59375,0.6558529791426048,0.17838483013835732,0.22802850356294538,0.11052698918858064,0.5853658536585366,0.5947075208913649,0.5900366872749507,0.13714093018317083,"[[427 291]
 [ 34  48]]",48,427,291,34,5,0.2
