Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.4807228915662651,0.684983745936484,0.173129430427289,0.25817555938037867,0.19105763507516807,0.872093023255814,0.43548387096774194,0.653788447111778,0.09815293307016891,"[[324 420]
 [ 11  75]]",75,324,420,11,1,0.01
0.645,0.5554485315498692,0.1642024789678733,0.1791907514450867,0.04823339958091468,0.40789473684210525,0.669889502762431,0.5388921198022681,0.12055572833506548,"[[485 239]
 [ 45  31]]",31,485,239,45,2,0.05
0.6670886075949367,0.5901827172405476,0.12181253987541574,0.17034700315457413,0.0515808998118828,0.391304347826087,0.6934812760055479,0.5423928119158175,0.15230694193711874,"[[500 221]
 [ 42  27]]",27,500,221,42,3,0.04
0.8974358974358975,0.6517796593749394,0.1514366671388886,0.06976744186046512,0.061317809931849716,0.0410958904109589,0.9858557284299858,0.5134758094204723,0.11818064049651535,"[[697  10]
 [ 70   3]]",3,697,10,70,4,0.81
0.1025,0.5937393844690536,0.1448436850642418,0.18594104308390022,0.0,1.0,0.0,0.5,0.0933729717483682,"[[  0 718]
 [  0  82]]",82,0,718,0,5,0.02
