Fold,model__activation,model__alpha,model__batch_size,model__hidden_layer_sizes,model__learning_rate_init
1,relu,0.008287522363768155,32,"(64, 32)",0.00132582697762165
2,relu,1.9870215385428627e-05,64,"(64,)",0.0035033984911586884
3,relu,0.008287522363768155,32,"(64, 32)",0.00132582697762165
4,tanh,0.0002023778954048506,32,"(64, 32)",0.0011006988685589537
5,tanh,0.0002001342062287998,16,"(128,)",0.001200561092619211
