Fold,model__class_weight,model__colsample_bytree,model__learning_rate,model__max_depth,model__min_child_samples,model__n_estimators,model__num_leaves,model__subsample
1,balanced,0.6381640465961645,0.10270456304956659,10,14,198,63,0.8550229885420852
2,balanced,0.6205915004999957,0.07966161605915285,3,10,225,21,0.8123738333268545
3,balanced,0.7173952698872152,0.013519955678771114,5,26,491,54,0.9160702162124823
4,,0.9186171947440931,0.05585869746654095,10,38,120,58,0.7783331011414365
5,balanced,0.6028265220878869,0.01576560626035394,5,21,154,71,0.836965827544817
