Fold,model__auto_class_weights,model__depth,model__iterations,model__l2_leaf_reg,model__learning_rate
1,Balanced,7,261,4.55635212401633,0.24166471644844856
2,Balanced,5,121,1.0635967469774568,0.01576560626035394
3,Balanced,5,121,1.0635967469774568,0.01576560626035394
4,Balanced,9,430,3.9191051890474657,0.04052198867516834
5,Balanced,5,121,1.0635967469774568,0.01576560626035394
