Fold,model__C,model__class_weight,model__penalty,model__solver
1,0.0019517224641449498,balanced,l2,lbfgs
2,0.0010090061869151559,balanced,l2,lbfgs
3,0.04661686413912769,balanced,l2,lbfgs
4,0.0010090061869151559,balanced,l2,lbfgs
5,0.9846738873614566,,l2,lbfgs
