Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.9012048192771084,0.9090710177544385,0.5551506742321052,0.5444444444444444,0.4897703903711598,0.5697674418604651,0.9395161290322581,0.7546417854463616,0.06525873920720017,"[[699  45]
 [ 37  49]]",49,699,45,37,1,0.26
0.89625,0.8850865077057284,0.5656996741727716,0.5088757396449705,0.45440609882275046,0.5657894736842105,0.930939226519337,0.7483643501017738,0.06825756904586752,"[[674  50]
 [ 33  43]]",43,674,50,33,2,0.45
0.8784810126582279,0.8920179300086434,0.5515362772457281,0.4838709677419355,0.4390122846279781,0.6521739130434783,0.9001386962552012,0.7761563046493397,0.0588082048763721,"[[649  72]
 [ 24  45]]",45,649,72,24,3,0.060000000000000005
0.8064102564102564,0.8706864815640077,0.47997082910565597,0.43018867924528303,0.3988331962158188,0.7808219178082192,0.809052333804809,0.7949371258065141,0.06723624099903487,"[[572 135]
 [ 16  57]]",57,572,135,16,4,0.09999999999999999
0.8525,0.841446429784632,0.44775605004276053,0.3854166666666667,0.3078614667532526,0.45121951219512196,0.8983286908077994,0.6747741015014607,0.09369490901216145,"[[645  73]
 [ 45  37]]",37,645,73,45,5,0.18000000000000002
