Dataset,Subgroup_Type,Subgroup,N,CKD,Non_CKD,Sensitivity,Specificity,PR_AUC,Status
CKD,Gender,Female,195,133,62,0.9323308270676691,0.8225806451612904,0.9846559636192823,Reported
CKD,Gender,Male,185,106,79,0.9716981132075472,0.8481012658227848,0.9797395966329354,Reported
CKD,Age group,40-49,78,56,22,0.9464285714285714,0.7272727272727273,0.9745459947648389,Reported
CKD,Age group,50+,51,41,10,0.9512195121951219,0.5,0.974149093657352,Reported
CKD,Age group,<40,251,142,109,0.9507042253521126,0.8899082568807339,0.987468433329835,Reported
