rank,feature,mean_abs_shap
1,Age_Diff,3.806876575787723
2,Diabetic_Year,2.7377821647059193
3,Height,1.3437460107733095
4,Age,1.259600279361299
5,Calorie_Intake,1.2093131031725515
6,BMI_Diabetes,1.189129845991685
7,BMI_per_Year,0.9550503869504615
8,Age_Diabetes,0.8810877492834287
9,Take_Insulin,0.876405364554461
10,Average_Age,0.8571548417791405
11,BMI,0.7526588300935263
12,Average_Weight,0.6289008798794117
13,Weight_Diff,0.5960785075540679
14,Urinary_Infection,0.5840314523140657
15,Weight,0.5042120422329158
16,Heart_Disease,0.48309385906358493
17,Treatment_Score,0.47882371193815515
18,Walk_Regularly,0.43249957059730243
19,Current_BMI,0.3504298771238201
20,Gender,0.34791032007361894
21,Lifestyle_Score,0.33314513185599975
22,Risk_Score,0.21716288257955715
23,Urination_Properly,0.1723668358865493
24,Zarda_Betel_Leaf,0.15529116581694574
25,Follow_suggested_Diet,0.14323899537291904
26,Family_Background_of_Diabetes,0.13454965964476645
27,Hypertension,0.12319254494543509
28,Pain_killer,0.11997125865826432
29,Job,0.11779183629922704
30,Take_Medicine_for_Diabetes,0.08362335389554416
31,Sleep,0.07783226416242678
32,Smoke,0.04174919910227108
33,Water_Consumption,0.035036288051970246
