Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.9210526315789473,0.9728539985326485,0.9829711804098304,0.9375,0.831812271500155,0.9574468085106383,0.8620689655172413,0.9097578870139398,0.07896568162260116,"[[25  4]
 [ 2 45]]",45,25,4,2,1,0.49
0.9605263157894737,0.9955357142857143,0.9973081933806751,0.968421052631579,0.9161658994312756,0.9583333333333334,0.9642857142857143,0.9613095238095238,0.04142601780908212,"[[27  1]
 [ 2 46]]",46,27,1,2,2,0.49
0.8289473684210527,0.9427083333333334,0.9701355514308452,0.8737864077669902,0.6260427294301534,0.9375,0.6428571428571429,0.7901785714285714,0.10007477514940542,"[[18 10]
 [ 3 45]]",45,18,10,3,3,0.46
0.9342105263157895,0.9888392857142857,0.9936333945485732,0.946236559139785,0.86469901492604,0.9166666666666666,0.9642857142857143,0.9404761904761905,0.048985887084588196,"[[27  1]
 [ 4 44]]",44,27,1,4,4,0.61
0.8947368421052632,0.9583333333333334,0.9726898314218948,0.9215686274509803,0.7755650342392028,0.9791666666666666,0.75,0.8645833333333333,0.07288342752425257,"[[21  7]
 [ 1 47]]",47,21,7,1,5,0.39
