Fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__min_child_weight,model__n_estimators,model__reg_alpha,model__reg_lambda,model__scale_pos_weight,model__subsample
1,0.8170578538830306,0.0816353130320711,4,6,404,0.18674094374607209,4.613002803298292,2,0.8148329708786621
2,0.7988994023569542,0.08521957745419241,3,8,180,1.333905071376425,5.383074779163264,5,0.6205915004999957
3,0.7879778055963772,0.07989008544918964,8,3,479,0.07728308264433714,5.141592812938627,1,0.821105986734196
4,0.610167650697638,0.036972856748326115,9,7,340,1.5717799053816335,3.042853455823514,2,0.6557325817623503
5,0.9886848381556415,0.22222845606652097,7,7,354,1.2803416138066197,0.7021679476921567,3,0.7710164073434198
