Fold,model__auto_class_weights,model__depth,model__iterations,model__l2_leaf_reg,model__learning_rate
1,Balanced,7,261,4.55635212401633,0.24166471644844856
2,Balanced,5,121,1.0635967469774568,0.01576560626035394
3,Balanced,5,486,3.707904788350927,0.0812101235943669
4,Balanced,4,151,6.069480147787453,0.18387902160653188
5,Balanced,4,147,4.3373642697843975,0.17721031316590183
