Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.5526315789473685,0.512839325018342,0.6245690885536745,0.6530612244897959,0.026550030483109895,0.6808510638297872,0.3448275862068966,0.5128393250183418,0.4473684210526316,"[[10 19]
 [15 32]]",32,10,19,15,1,0.01
0.5921052631578947,0.5505952380952381,0.6564327485380117,0.6868686868686869,0.10389249632986394,0.7083333333333334,0.39285714285714285,0.5505952380952381,0.40789473684210525,"[[11 17]
 [14 34]]",34,11,17,14,2,0.01
0.5394736842105263,0.49404761904761896,0.6288269693842449,0.6464646464646465,-0.012222646627042817,0.6666666666666666,0.32142857142857145,0.49404761904761907,0.4605263157894737,"[[ 9 19]
 [16 32]]",32,9,19,16,3,0.01
0.618421052631579,0.5788690476190477,0.6714611283109735,0.7070707070707071,0.16195006780831733,0.7291666666666666,0.42857142857142855,0.5788690476190476,0.3815789473684211,"[[12 16]
 [13 35]]",35,12,16,13,4,0.01
0.5921052631578947,0.5505952380952381,0.6564327485380117,0.6868686868686869,0.10389249632986394,0.7083333333333334,0.39285714285714285,0.5505952380952381,0.40789473684210525,"[[11 17]
 [14 34]]",34,11,17,14,5,0.01
