Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.42409638554216866,0.6211318454613654,0.1296703963366816,0.24605678233438485,0.17711614456661423,0.9069767441860465,0.3682795698924731,0.6376281570392598,0.2407910722192726,"[[274 470]
 [  8  78]]",78,274,470,8,1,0.46
0.41625,0.6457273189880779,0.15081515971709658,0.21775544388609716,0.13869624873700534,0.8552631578947368,0.3701657458563536,0.6127144518755452,0.24762166224665397,"[[268 456]
 [ 11  65]]",65,268,456,11,2,0.48000000000000004
0.43544303797468353,0.6760537900259301,0.12544946193654644,0.2229965156794425,0.18571803868624798,0.927536231884058,0.3883495145631068,0.6579428732235824,0.243540380258961,"[[280 441]
 [  5  64]]",64,280,441,5,3,0.45
0.4641025641025641,0.5980120516944062,0.12681462499424062,0.19923371647509577,0.08886663305577883,0.7123287671232876,0.43847241867043846,0.5754005928968631,0.24485456028111174,"[[310 397]
 [ 21  52]]",52,310,397,21,4,0.48000000000000004
0.425,0.5496297302805897,0.1542950327790339,0.20689655172413793,0.07613218355304215,0.7317073170731707,0.38997214484679665,0.5608397309599837,0.09220826946236053,"[[280 438]
 [ 22  60]]",60,280,438,22,5,0.08
