Dataset,Model,Top_SHAP_Feature,Top_SHAP_MeanAbs,Top_SHAP_Top10_Folds,Top_Interaction,Interaction_Median_Rank,Interaction_Top10_Folds,SHAP_Permutation_Spearman,Top5_Overlap,Top10_Overlap
CKD,Random Forest,pus_cells,0.13570683411127055,5,albumin × co,1,5,0.7639097744360903,5,7
DiabeticCKD,LightGBM,Age_Diff,3.0118725795020382,5,Diabetic_Year × Age_Diff,1,5,0.6938502673796793,2,7
