Fold,model__C,model__class_weight,model__gamma
1,0.006026889128682512,,scale
2,0.0019517224641449498,balanced,scale
3,0.0019517224641449498,balanced,scale
4,0.0019517224641449498,balanced,scale
5,0.14445251022763064,,scale
