Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
albumin,co,0.014100135390289998,0.002111712408646777,1
albumin,pus_cells,0.009880962891573166,0.001265025134132321,2
age,pus_cells,0.006338416414406764,0.001905834620187195,3
albumin,bacteria,0.006153365575032621,0.0007018653889186685,4
age,albumin,0.005694205188128208,0.0010411171051977362,5
albumin,red_cells,0.005597980776294777,0.0010123065312285183,6
pus_cells,co,0.005438024840162815,0.0010169708022719545,7
red_cells,bacteria,0.005415921890875661,0.0015534189697851812,8
pus_cells,bacteria,0.005315425966149102,0.0011885920685415624,9
pus_cells,red_cells,0.005247969377266815,0.0010453175995723959,10
u_clarity,albumin,0.004721434234355485,0.001535257700150177,11
sugar,pus_cells,0.003981160763943807,0.0005460936578333583,12
bpigment,pus_cells,0.0038702434281063227,0.0010589373136435838,13
ph,pus_cells,0.00367058740936489,0.0006078353853374646,14
sp_g,pus_cells,0.0036651683731392564,0.001507543405542275,15
age,red_cells,0.0036079298498995285,0.001639374953115255,16
co,bacteria,0.0034315260416858074,0.0005913008733518391,17
mt,co,0.0034156047172916883,0.0010495836856226877,18
ph,co,0.0032313240270526074,0.0010414537373160066,19
ph,albumin,0.00298376336704491,0.0020643245520057477,20
pus_cells,epi_cells,0.002931422884939782,0.002597053078577688,21
u_clarity,pus_cells,0.002793640856052179,0.0010587843700677402,22
age,co,0.002707333949854331,0.0008344242082755784,23
sp_g,albumin,0.0026865705547776727,0.0017062217895703136,24
red_cells,mt,0.002516784198540573,0.0011277326072162207,25
albumin,mt,0.002428857220817439,0.0013074093247171265,26
pus_cells,mt,0.0023124225662689403,0.0008390496565121108,27
sp_g,co,0.0022980812810177616,0.0008686815776323899,28
pus_cells,gc,0.0022980111067330104,0.0011804492041889842,29
ph,bacteria,0.0022783593739445682,0.0011850553370378347,30
epi_cells,bacteria,0.002247380197734075,0.0010875663010124696,31
pus_cells,cc,0.0022263150278625755,0.0009620752421905665,32
kb,pus_cells,0.0022192931391348584,0.0011697370414449296,33
albumin,gc,0.00215711550206807,0.0005889835797668902,34
age,bacteria,0.002119856960955985,0.0007182604068710673,35
kb,red_cells,0.002059711058653011,0.000763251188127907,36
red_cells,co,0.0019786135363055375,0.000893900718926291,37
red_cells,gc,0.0019696175570971526,0.0005759583931095136,38
co,gc,0.0019582981381713986,0.001175109011812236,39
kb,bacteria,0.0019006231598520534,0.0009195014998901414,40
blood,bacteria,0.0018869457771250279,0.0006619253319707052,41
bpigment,bacteria,0.0018793611474504767,0.00039075164207486805,42
u_clarity,red_cells,0.0018401245242241596,0.0010735406683979334,43
sp_g,red_cells,0.0018233522134404518,0.0009677742990020706,44
bpigment,red_cells,0.001817963239260623,0.0005248305727581119,45
gc,bacteria,0.0017923143329348975,0.0005034084907497692,46
u_clarity,ph,0.001782960543385367,0.0007596579371248555,47
gender,pus_cells,0.001729464230917771,0.000927760036425639,48
u_clarity,bacteria,0.0014596202760419224,0.0003401643025061946,49
age,mt,0.0014394468846798938,0.00047629644510311514,50
