Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
Walk_Regularly,Calorie_Intake,0.03270165802650833,0.028338036182699797,94
BMI_per_Year,Lifestyle_Score,0.03216765737675429,0.02883342698648366,95
Gender,BMI,0.03204394590057108,0.02863652794248144,96
Age,BMI_per_Year,0.03183999539908672,0.022628378040875693,97
BMI,Walk_Regularly,0.0317946863337245,0.02700327364576404,98
Average_Age,Take_Insulin,0.03178558085197224,0.029495701036716608,99
Average_Weight,Age_Diabetes,0.03143462886754204,0.020804833392339173,100
Average_Age,Weight_Diff,0.031102770533389536,0.023243363049371833,101
Urinary_Infection,Pain_killer,0.031046254134711793,0.03248049872150899,102
Average_Weight,Urinary_Infection,0.030675486578830846,0.024215680599627958,103
Average_Age,Age_Diabetes,0.03029813347427964,0.026719726431321453,104
Take_Insulin,Walk_Regularly,0.030034144153453696,0.027755797592070277,105
Average_Age,Urinary_Infection,0.030017563563581394,0.025914085870233153,106
Calorie_Intake,Current_BMI,0.029758104973866772,0.02141331877307503,107
Diabetic_Year,Zarda_Betel_Leaf,0.029702685314238704,0.042521978770899825,108
Family_Background_of_Diabetes,BMI_per_Year,0.02955985908424768,0.026615194190369864,109
Average_Age,Current_BMI,0.02908785170448719,0.026522744640549836,110
Take_Insulin,BMI_Diabetes,0.02865694191601263,0.022074683455080596,111
Current_BMI,Weight_Diff,0.028258348853632896,0.022216220521780395,112
Weight,BMI_per_Year,0.02807181472085015,0.026219818789107844,113
Weight,BMI_Diabetes,0.02805565196590165,0.022059015769829462,114
Average_Weight,Risk_Score,0.027845810505548907,0.023425082742946073,115
Weight,Weight_Diff,0.027731611733579353,0.026383875320779245,116
Gender,Average_Weight,0.027547284163855972,0.024611516748397087,117
Height,Weight,0.027540973922868656,0.022308206475286124,118
Family_Background_of_Diabetes,Diabetic_Year,0.027500546792828928,0.020566368023914965,119
Average_Weight,Current_BMI,0.0270064253431473,0.02225721980930102,120
Family_Background_of_Diabetes,Average_Age,0.02631418256420322,0.02583093461857587,121
BMI_Diabetes,Lifestyle_Score,0.026200819417953224,0.022237293033802723,122
Weight,Age_Diabetes,0.026086288210971316,0.02323848729396788,123
Current_BMI,BMI_Diabetes,0.025775157339160547,0.01984181457319909,124
Average_Weight,Water_Consumption,0.025552960550011716,0.04006019685365329,125
Current_BMI,BMI_per_Year,0.02553034916376571,0.019987642401730624,126
Urinary_Infection,BMI_per_Year,0.025411345793653988,0.017730367410558376,127
Job,Age_Diff,0.025398981548964333,0.018937266694455043,128
BMI_per_Year,Treatment_Score,0.025337771788241252,0.026864672103150956,129
Current_BMI,Age_Diabetes,0.025257225655335714,0.019341525204224965,130
Urinary_Infection,BMI_Diabetes,0.025222368647354082,0.019001131681403487,131
Gender,BMI_Diabetes,0.025219857641335063,0.019078806269038552,132
Average_Weight,Lifestyle_Score,0.0251994212465401,0.02517730325813412,133
BMI,Risk_Score,0.024889627727980115,0.0236855730928446,134
Average_Age,Hypertension,0.024764998211612176,0.01754998593052238,135
Diabetic_Year,Walk_Regularly,0.02471397816759039,0.01439981116049169,136
BMI,Lifestyle_Score,0.024688193121433267,0.02067230542212544,137
Gender,Urinary_Infection,0.02463516108010231,0.02655459140384281,138
Walk_Regularly,Weight_Diff,0.023534557157273362,0.012411991812418331,139
BMI,Pain_killer,0.023341419795547335,0.02959693108453941,140
Age_Diff,Treatment_Score,0.02330836030516837,0.014471420490104143,141
Age,Weight,0.02286094312172705,0.019416918815983553,142
BMI,Zarda_Betel_Leaf,0.022020683258210206,0.020974715528600637,143
Family_Background_of_Diabetes,Calorie_Intake,0.02193888442722299,0.014268724132120816,144
Height,Lifestyle_Score,0.021592473117256133,0.015218672322196928,145
BMI_Diabetes,Treatment_Score,0.021407925072050683,0.014275750558488953,146
Pain_killer,Weight_Diff,0.02130323059756865,0.02066452257123449,147
Diabetic_Year,Take_Insulin,0.021025194290573583,0.016217801672831617,148
