Feature_1,Feature_2,Median_Rank,Mean_Rank,Top10_Folds
Diabetic_Year,Age_Diff,1.0,1.0,5
Age_Diabetes,Age_Diff,4.0,5.0,5
Weight_Diff,Age_Diff,4.0,5.6,5
Age_Diff,BMI_per_Year,7.0,8.2,4
Height,BMI,6.0,9.4,3
BMI_Diabetes,Age_Diff,6.0,11.2,3
BMI,Age_Diff,8.0,14.4,3
Age,Average_Age,10.0,12.6,3
Gender,Height,11.0,32.2,2
Height,Age_Diff,14.0,12.4,2
BMI,Calorie_Intake,16.0,23.8,2
Height,Calorie_Intake,25.0,26.0,2
Urinary_Infection,Age_Diff,79.0,70.4,2
Average_Weight,Age_Diff,15.0,20.8,1
Diabetic_Year,BMI_Diabetes,16.0,22.4,1
Average_Weight,BMI,23.0,40.8,1
Average_Age,Average_Weight,29.0,31.4,1
Diabetic_Year,BMI_per_Year,30.0,51.6,1
Average_Weight,Take_Insulin,34.0,51.4,1
Walk_Regularly,Age_Diff,35.0,48.4,1
BMI_Diabetes,Age_Diabetes,59.0,53.4,1
Family_Background_of_Diabetes,Age_Diff,107.0,96.0,1
Calorie_Intake,Age_Diff,17.0,20.4,0
Height,BMI_Diabetes,18.0,25.4,0
BMI,Current_BMI,22.0,42.2,0
Height,Age,24.0,28.2,0
Height,Average_Weight,26.0,35.6,0
Diabetic_Year,Average_Weight,30.0,46.0,0
Average_Weight,Calorie_Intake,34.0,37.8,0
Height,BMI_per_Year,36.0,49.8,0
Age,Age_Diff,37.0,39.2,0
Weight,Age_Diff,37.0,43.0,0
Height,Average_Age,38.0,55.2,0
Height,Take_Insulin,40.0,49.2,0
Current_BMI,Age_Diff,40.0,54.0,0
Take_Insulin,Age_Diff,44.0,50.2,0
BMI_Diabetes,BMI_per_Year,45.0,57.6,0
Height,Urinary_Infection,46.0,55.0,0
BMI,BMI_per_Year,46.0,49.4,0
Average_Age,Calorie_Intake,47.0,78.0,0
Height,Age_Diabetes,49.0,64.8,0
BMI_Diabetes,Weight_Diff,49.0,54.8,0
Average_Age,Age_Diff,50.0,47.0,0
Diabetic_Year,Average_Age,52.0,75.0,0
Diabetic_Year,BMI,52.0,63.4,0
Heart_Disease,Age_Diff,52.0,87.2,0
