Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,Confusion Matrix,TP,TN,FP,FN,Fold,Threshold
0.8578313253012049,0.85752688172043,0.3735636912209824,0.44339622641509435,0.37397383224387004,0.5465116279069767,0.8938172043010753,0.7201644161040259,0.07709270668250566,"[[665  79]
 [ 39  47]]",47,665,79,39,1,0.2
0.8575,0.8495383832509451,0.3970441313502949,0.40625,0.3387697100622709,0.5131578947368421,0.893646408839779,0.7034021517883106,0.07123963571256053,"[[647  77]
 [ 37  39]]",39,647,77,37,2,0.19
0.7949367088607595,0.8445797905485538,0.37030826192634403,0.3671875,0.32346552644190735,0.6811594202898551,0.8058252427184466,0.7434923315041508,0.06903669437666925,"[[581 140]
 [ 22  47]]",47,581,140,22,3,0.15000000000000002
0.7461538461538462,0.8247660382476604,0.31536450034930147,0.35714285714285715,0.3166573528800486,0.7534246575342466,0.7454031117397454,0.749413884636996,0.07627737178617845,"[[527 180]
 [ 18  55]]",55,527,180,18,4,0.11
0.8275,0.8316971261634623,0.34832657422215185,0.42016806722689076,0.3537710069632428,0.6097560975609756,0.8523676880222841,0.7310618927916299,0.07964216701424101,"[[612 106]
 [ 32  50]]",50,612,106,32,5,0.19
