Method,Mean_Brier,SD_Brier,Mean_Slope,SD_Slope,Mean_Intercept,SD_Intercept
Original,0.06846715783798589,0.023661715258688917,1.61998511513529,0.3524126165854592,0.057467559416659694,0.2986774419531415
Isotonic,0.06338832836687333,0.029348889632192697,0.9793413864956927,0.5142007714445587,-0.18912292972849212,0.4579155734312175
Sigmoid,0.06288660021846093,0.024814007374108996,1.3765439908366122,0.2845053015935272,-0.3397698471949016,0.3153525249126234
