rank,feature,mean_abs_shap
1,pus_cells,0.12244173174149776
2,albumin,0.11631609801813785
3,bacteria,0.05987652311832062
4,red_cells,0.04367319410783512
5,co,0.041868752975266495
6,u_clarity,0.029619554454481063
7,ph,0.025047413210139282
8,gc,0.023294113174093144
9,mt,0.017882888285626317
10,age,0.01722669737240955
11,bpigment,0.01632138461639451
12,blood,0.014884974475766255
13,sugar,0.014604611487408662
14,sp_g,0.012488620903265316
15,epi_cells,0.011780247433274502
16,kb,0.00890425001988111
17,cc,0.004470654258219907
18,gender,0.0022345203621134922
19,ur_bi,0.0015695214270503358
20,glucose,0.0013303184331263074
