rank,feature,mean_abs_shap
1,pus_cells,0.1316580800685835
2,albumin,0.12152741134603395
3,red_cells,0.06638722802573616
4,co,0.059347976309360215
5,bacteria,0.05405932582278123
6,age,0.03593754228938419
7,mt,0.03167886878461003
8,gc,0.026905179159040508
9,u_clarity,0.018844850280767208
10,epi_cells,0.018759053873012098
11,ph,0.018164550594286812
12,kb,0.01800333621686328
13,sp_g,0.017539950254626225
14,sugar,0.014983573901444652
15,blood,0.014194463829189118
16,bpigment,0.013870466096294899
17,cc,0.013152068438507964
18,gender,0.010164327479413595
19,glucose,0.0027398729075551855
20,ur_bi,0.0014398800342311426
