Fold,model__class_weight,model__colsample_bytree,model__learning_rate,model__max_depth,model__min_child_samples,model__n_estimators,model__num_leaves,model__subsample
1,balanced,0.7173952698872152,0.013519955678771114,5,26,491,54,0.9160702162124823
2,balanced,0.9761834337411657,0.24848214425064685,7,15,198,79,0.606182646611547
3,,0.9186171947440931,0.05585869746654095,10,38,120,58,0.7783331011414365
4,,0.9439761626945282,0.18007688464694493,11,16,373,23,0.9768807022739411
5,,0.9439761626945282,0.18007688464694493,11,16,373,23,0.9768807022739411
