Fold,model__activation,model__alpha,model__batch_size,model__hidden_layer_sizes,model__learning_rate_init
1,tanh,6.290644294586152e-05,64,"(128, 64)",0.0015304852121831463
2,relu,0.015352246941973482,64,"(64, 32)",0.0036256176345762273
3,relu,1.9870215385428627e-05,64,"(64,)",0.0035033984911586884
4,relu,1.9870215385428627e-05,64,"(64,)",0.0035033984911586884
5,tanh,0.004467752817973905,32,"(128,)",0.001096821720752952
