Fold,model__C,model__class_weight,model__gamma
1,67.32248920775338,balanced,auto
2,67.32248920775338,balanced,auto
3,67.32248920775338,balanced,auto
4,14.528246637516036,balanced,auto
5,14.528246637516036,balanced,auto
